Batch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,N/A,1,1,748.543,713.958,25.076,26733.674,14000,14000,100.000%,764.681
512,1,N/A,1,2,748.810,712.560,26.129,26743.216,14000,14000,100.000%,764.681
512,1,N/A,1,3,750.652,714.382,26.029,26809.000,14000,14000,100.000%,764.681
512,1,N/A,2,1,500.825,471.839,20.992,17886.616,9356,14000,66.829%,519.944
512,1,N/A,2,2,497.201,466.468,22.069,17757.177,9272,14000,66.229%,519.944
512,1,N/A,2,3,502.432,471.078,22.271,17943.988,9336,14000,66.686%,519.944
512,2,N/A,1,1,724.967,690.632,24.835,25891.668,14000,14000,100.000%,742.114
512,2,N/A,1,2,723.446,686.942,26.332,25837.367,14000,14000,100.000%,742.114
512,2,N/A,1,3,730.301,694.329,25.659,26082.183,14000,14000,100.000%,742.115
512,2,N/A,2,1,488.855,455.989,23.078,17459.089,9398,14000,67.129%,509.981
512,2,N/A,2,2,486.992,453.027,23.806,17392.561,9349,14000,66.779%,509.982
512,2,N/A,2,3,483.666,452.905,21.871,17273.785,9353,14000,66.807%,509.981
512,3,N/A,1,1,740.875,701.015,27.982,26459.823,14000,14000,100.000%,758.940
512,3,N/A,1,2,747.226,706.164,28.786,26686.657,14000,14000,100.000%,747.226
512,3,N/A,1,3,733.356,698.052,25.390,26191.291,14000,14000,100.000%,758.941
512,3,N/A,2,1,480.596,450.603,21.640,17164.156,9367,14000,66.907%,502.021
512,3,N/A,2,2,482.185,450.937,22.407,17220.900,9299,14000,66.421%,502.021
512,3,N/A,2,3,482.872,453.741,21.074,17245.438,9328,14000,66.629%,502.021
1024,1,N/A,1,1,725.362,690.900,24.980,51811.570,14000,14000,100.000%,743.073
1024,1,N/A,1,2,731.335,695.227,26.161,52238.197,14000,14000,100.000%,743.072
1024,1,N/A,1,3,732.449,696.454,25.876,52317.803,14000,14000,100.000%,743.073
1024,1,N/A,2,1,510.069,481.061,21.002,36433.514,9351,14000,66.793%,525.813
1024,1,N/A,2,2,511.384,481.233,21.839,36527.398,9347,14000,66.764%,525.813
1024,1,N/A,2,3,507.373,477.520,21.475,36240.894,9291,14000,66.364%,525.813
