Batch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
1024,2,N/A,1,1,792.858,758.135,25.236,56632.746,14000,14000,100.000%,805.353
1024,2,N/A,1,2,790.744,754.407,26.280,56481.681,14000,14000,100.000%,805.353
1024,2,N/A,1,3,795.353,760.308,25.379,56810.928,14000,14000,100.000%,805.353
1024,2,N/A,2,1,530.634,501.495,21.140,37902.424,9357,14000,66.836%,546.378
1024,2,N/A,2,2,521.586,491.414,21.797,37256.155,9303,14000,66.450%,546.378
1024,2,N/A,2,3,530.525,501.563,20.992,37894.614,9401,14000,67.150%,546.378
1024,3,N/A,1,1,790.610,756.169,24.916,56472.143,14000,14000,100.000%,802.365
1024,3,N/A,1,2,789.717,753.505,26.134,56408.335,14000,14000,100.000%,802.365
1024,3,N/A,1,3,790.679,753.552,26.608,56477.084,14000,14000,100.000%,802.366
1024,3,N/A,2,1,531.991,503.121,20.878,37999.373,9353,14000,66.807%,547.059
1024,3,N/A,2,2,522.006,491.889,21.734,37286.121,9367,14000,66.907%,547.059
1024,3,N/A,2,3,524.010,493.587,21.917,37429.316,9392,14000,67.086%,547.059
512,1,3500,1,1,751.703,713.583,27.139,26846.554,14000,14000,100.000%,771.728
512,1,3500,1,2,759.040,720.733,27.309,27108.578,14000,14000,100.000%,771.704
512,1,3500,1,3,751.101,713.992,26.382,26825.039,14000,14000,100.000%,771.775
512,1,3500,2,1,791.909,754.693,27.039,28282.451,13843,14000,98.879%,806.652
512,1,3500,2,2,789.393,754.017,25.765,28192.621,13828,14000,98.771%,806.651
512,1,3500,2,3,785.126,751.160,24.764,28040.219,13850,14000,98.929%,806.651
512,2,3500,1,1,870.446,825.336,31.527,31087.348,14000,14000,100.000%,890.074
512,2,3500,1,2,856.322,811.961,30.649,30582.911,14000,14000,100.000%,890.073
512,2,3500,1,3,835.437,790.804,30.815,29837.034,14000,14000,100.000%,890.073
512,2,3500,2,1,854.979,817.178,27.391,30534.957,13867,14000,99.050%,918.022
512,2,3500,2,2,866.069,827.808,27.509,30931.034,13832,14000,98.800%,918.021
512,2,3500,2,3,854.267,817.256,26.844,30509.543,13829,14000,98.779%,918.022
512,3,3500,1,1,818.956,781.509,27.115,29248.442,14000,14000,100.000%,840.888
512,3,3500,1,2,823.353,784.025,27.890,29405.460,14000,14000,100.000%,840.888
512,3,3500,1,3,826.593,787.290,28.030,29521.176,14000,14000,100.000%,840.889
512,3,3500,2,1,778.817,743.312,25.995,27814.894,13831,14000,98.793%,807.718
512,3,3500,2,2,791.894,756.246,25.925,28281.913,13842,14000,98.871%,807.718
512,3,3500,2,3,776.984,740.829,26.317,27749.425,13838,14000,98.843%,807.717
512,1,7000,1,1,777.222,741.930,25.645,27757.923,14000,14000,100.000%,803.299
512,1,7000,1,2,772.082,737.244,25.328,27574.357,14000,14000,100.000%,803.300
512,1,7000,1,3,788.035,753.226,25.262,28144.120,14000,14000,100.000%,803.299
512,1,7000,2,1,754.064,719.251,25.376,26930.843,13341,14000,95.293%,782.584
512,1,7000,2,2,740.848,706.644,24.960,26458.846,13346,14000,95.329%,782.585
512,1,7000,2,3,767.784,733.667,24.849,27420.842,13371,14000,95.507%,782.585
512,2,7000,1,1,783.966,748.663,25.742,27998.803,14000,14000,100.000%,825.429
512,2,7000,1,2,810.838,776.038,25.291,28958.490,14000,14000,100.000%,825.429
512,2,7000,1,3,801.033,766.316,25.147,28608.325,14000,14000,100.000%,825.428
512,2,7000,2,1,737.878,703.045,25.474,26352.774,13317,14000,95.121%,770.589
512,2,7000,2,2,756.053,721.715,25.010,27001.901,13350,14000,95.357%,770.589
512,2,7000,2,3,744.128,709.789,24.982,26575.989,13346,14000,95.329%,770.590
512,3,7000,1,1,781.302,745.962,25.745,27903.658,14000,14000,100.000%,796.367
512,3,7000,1,2,779.269,744.420,25.374,27831.030,14000,14000,100.000%,796.368
512,3,7000,1,3,785.679,751.082,25.180,28059.982,14000,14000,100.000%,796.367
512,3,7000,2,1,717.293,674.260,29.974,25617.605,13331,14000,95.221%,762.005
512,3,7000,2,2,734.468,693.045,29.060,26231.003,13342,14000,95.300%,762.005
512,3,7000,2,3,734.996,691.880,29.986,26249.857,13276,14000,94.829%,762.005
512,1,10500,1,1,742.863,706.956,25.987,26530.813,14000,14000,100.000%,760.101
512,1,10500,1,2,731.056,693.371,26.900,26109.135,14000,14000,100.000%,760.101
512,1,10500,1,3,728.035,690.190,27.053,26001.254,14000,14000,100.000%,760.101
512,1,10500,2,1,653.939,620.557,24.344,23354.978,12442,14000,88.871%,686.055
512,1,10500,2,2,660.006,622.496,26.519,23571.629,12533,14000,89.521%,686.055
512,1,10500,2,3,661.369,626.485,25.299,23620.333,12423,14000,88.736%,686.055
512,2,10500,1,1,755.275,720.127,25.503,26974.104,14000,14000,100.000%,769.782
512,2,10500,1,2,752.370,717.039,25.619,26870.359,14000,14000,100.000%,769.782
512,2,10500,1,3,754.418,719.340,25.522,26943.514,14000,14000,100.000%,769.782
512,2,10500,2,1,699.379,658.498,28.507,24977.827,12462,14000,89.014%,721.868
512,2,10500,2,2,699.575,659.339,28.125,24984.825,12391,14000,88.507%,721.868
512,2,10500,2,3,702.335,661.338,28.695,25083.392,12419,14000,88.707%,721.868
512,3,10500,1,1,807.205,768.884,27.319,28828.754,14000,14000,100.000%,831.275
512,3,10500,1,2,807.920,769.430,27.298,28854.274,14000,14000,100.000%,831.274
512,3,10500,1,3,808.301,769.239,27.740,28867.880,14000,14000,100.000%,831.275
512,3,10500,2,1,696.699,661.889,25.287,24882.111,12471,14000,89.079%,714.258
512,3,10500,2,2,698.934,664.541,24.943,24961.920,12342,14000,88.157%,714.258
512,3,10500,2,3,696.765,662.130,25.152,24884.455,12349,14000,88.207%,714.258
1024,1,3500,1,1,921.191,882.368,27.417,65799.387,14000,14000,100.000%,942.638
1024,1,3500,1,2,931.546,892.412,27.542,66539.035,14000,14000,100.000%,942.695
1024,1,3500,1,3,930.036,887.417,29.127,66431.121,14000,14000,100.000%,942.699
1024,1,3500,2,1,830.047,793.943,26.052,59289.044,13844,14000,98.886%,853.260
1024,1,3500,2,2,833.461,796.661,26.632,59532.927,13851,14000,98.936%,853.260
1024,1,3500,2,3,840.626,798.364,29.423,60044.744,13855,14000,98.964%,853.260
1024,2,3500,1,1,883.655,843.254,28.659,63118.184,14000,14000,100.000%,896.972
1024,2,3500,1,2,877.705,841.768,26.125,62693.228,14000,14000,100.000%,896.972
1024,2,3500,1,3,875.082,835.343,27.896,62505.865,14000,14000,100.000%,896.972
1024,2,3500,2,1,832.809,795.641,26.975,59486.350,13843,14000,98.879%,848.567
1024,2,3500,2,2,834.841,800.345,25.153,59631.473,13852,14000,98.943%,848.567
1024,2,3500,2,3,834.695,798.018,26.070,59621.077,13849,14000,98.921%,848.567
1024,3,3500,1,1,847.017,809.710,26.882,60501.205,14000,14000,100.000%,862.185
1024,3,3500,1,2,848.304,813.767,24.910,60593.148,14000,14000,100.000%,862.186
1024,3,3500,1,3,843.502,809.025,24.834,60250.163,14000,14000,100.000%,862.185
1024,3,3500,2,1,837.138,797.890,27.865,59795.595,13851,14000,98.936%,855.703
1024,3,3500,2,2,845.041,803.060,29.487,60360.046,13863,14000,99.021%,855.703
1024,3,3500,2,3,842.875,798.649,30.615,60205.392,13849,14000,98.921%,855.703
1024,1,7000,1,1,836.975,800.777,25.647,59783.957,14000,14000,100.000%,863.647
1024,1,7000,1,2,843.079,803.877,27.792,60219.937,14000,14000,100.000%,863.650
1024,1,7000,1,3,855.298,814.978,28.297,61092.733,14000,14000,100.000%,863.650
1024,1,7000,2,1,803.607,766.983,26.028,57400.490,13336,14000,95.257%,819.681
1024,1,7000,2,2,805.284,769.681,25.846,57520.315,13359,14000,95.421%,805.284
1024,1,7000,2,3,800.684,765.474,25.530,57191.725,13289,14000,94.921%,819.678
1024,2,7000,1,1,840.018,806.611,24.287,60001.301,14000,14000,100.000%,862.578
1024,2,7000,1,2,851.992,817.863,24.751,60856.540,14000,14000,100.000%,862.577
1024,2,7000,1,3,835.486,802.264,24.179,59677.559,14000,14000,100.000%,862.577
1024,2,7000,2,1,808.576,770.777,27.007,57755.420,13344,14000,95.314%,826.262
1024,2,7000,2,2,813.312,774.054,27.753,58093.683,13345,14000,95.321%,826.263
1024,2,7000,2,3,799.608,768.228,22.940,57114.859,13329,14000,95.207%,826.263
1024,3,7000,1,1,850.054,813.083,26.646,60718.130,14000,14000,100.000%,863.975
1024,3,7000,1,2,851.351,811.490,28.328,60810.788,14000,14000,100.000%,863.975
1024,3,7000,1,3,837.017,805.699,22.800,59786.928,14000,14000,100.000%,863.975
1024,3,7000,2,1,806.405,769.866,26.406,57600.356,13392,14000,95.657%,822.516
1024,3,7000,2,2,804.605,763.946,28.758,57471.755,13339,14000,95.279%,822.517
1024,3,7000,2,3,800.490,766.797,24.306,57177.876,13348,14000,95.343%,822.517
1024,1,10500,1,1,867.510,829.477,27.169,61964.984,14000,14000,100.000%,883.669
1024,1,10500,1,2,865.771,827.037,27.543,61840.771,14000,14000,100.000%,883.669
1024,1,10500,1,3,870.341,827.837,29.484,62167.195,14000,14000,100.000%,883.669
1024,1,10500,2,1,786.732,751.451,25.449,56195.156,12440,14000,88.857%,807.420
1024,1,10500,2,2,792.978,755.852,26.486,56641.267,12449,14000,88.921%,807.421
1024,1,10500,2,3,782.837,746.000,26.171,55916.908,12390,14000,88.500%,807.421
1024,2,10500,1,1,845.991,806.974,27.652,60427.931,14000,14000,100.000%,859.211
1024,2,10500,1,2,837.794,803.485,24.893,59842.457,14000,14000,100.000%,859.211
1024,2,10500,1,3,838.103,803.231,25.265,59864.485,14000,14000,100.000%,859.211
1024,2,10500,2,1,765.887,731.974,24.641,54706.227,12447,14000,88.907%,787.398
1024,2,10500,2,2,774.247,741.760,23.690,55303.385,12400,14000,88.571%,787.398
1024,2,10500,2,3,760.317,727.353,24.004,54308.385,12406,14000,88.614%,787.398
1024,3,10500,1,1,845.991,806.974,27.652,60427.931,14000,14000,100.000%,859.211
1024,3,10500,1,2,837.794,803.485,24.893,59842.457,14000,14000,100.000%,859.211
1024,3,10500,1,3,838.103,803.231,25.265,59864.485,14000,14000,100.000%,859.211
1024,3,10500,2,1,765.887,731.974,24.641,54706.227,12447,14000,88.907%,787.398
1024,3,10500,2,2,774.247,741.760,23.690,55303.385,12400,14000,88.571%,787.398
1024,3,10500,2,3,760.317,727.353,24.004,54308.385,12406,14000,88.614%,787.398
