Batch Size,Trial #,Cache Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,512,128,1,1,318.7823613,296.4736488,14.58474135,0.09140205383,13860.10266,5435,11667,46.584%,468.2794278
512,1,512,128,1,2,315.9949491,294.4289699,14.28263688,0.09621882439,13738.91083,5379,11667,46.104%,468.2782176
512,1,512,128,1,3,327.606226,302.8350568,16.06007624,0.1066110134,14243.74896,5556,11667,47.621%,468.2833972
512,1,512,128,2,1,304.1402204,283.0144761,14.02537131,0.09076023102,13223.48784,5353,11667,45.882%,461.2770956
512,1,512,128,2,2,310.0823612,288.5595415,14.30930257,0.09266996384,13481.84179,5463,11667,46.824%,461.280015
512,1,512,128,2,3,315.2845392,293.1176028,14.550632,0.1037750244,13708.02344,5542,11667,47.501%,461.2788398
512,2,512,128,1,1,311.5348003,290.7436938,13.79078484,0.08922743797,13544.99132,5474,11667,46.919%,462.9251747
512,2,512,128,1,2,308.4567904,287.5485697,13.78768826,0.0902864933,13411.1648,5418,11667,46.439%,462.9283395
512,2,512,128,1,3,312.3367605,291.3458622,13.84363651,0.09306120872,13579.85915,5470,11667,46.884%,462.9241042
512,2,512,128,2,1,302.4207978,282.8334191,13.07897162,0.09022426605,13148.73034,5451,11667,46.722%,453.7832618
512,2,512,128,2,2,302.929307,282.1948633,13.79203486,0.08944988251,13170.83943,5392,11667,46.216%,453.7844923
512,2,512,128,2,3,305.5438654,285.8224003,13.18643546,0.08961558342,13284.51589,5419,11667,46.447%,453.7837999
512,3,512,128,1,1,312.6157408,292.5715034,13.29910326,0.08751296997,13591.98873,5459,11667,46.790%,461.4372964
512,3,512,128,1,2,312.2929833,291.6056557,13.73688006,0.08842635155,13577.9558,5452,11667,46.730%,461.4418471
512,3,512,128,1,3,311.0003431,290.3748631,13.73171973,0.08938670158,13521.75405,5478,11667,46.953%,461.4359241
512,3,512,128,2,1,307.8974473,288.046098,13.28209305,0.08826231956,13386.84554,5460,11667,46.799%,456.6390202
512,3,512,128,2,2,314.3335965,293.674288,13.72425437,0.09083127975,13666.67811,5495,11667,47.099%,456.6388464
512,3,512,128,2,3,312.9322724,292.9516201,13.38436961,0.08839535713,13605.75098,5528,11667,47.382%,456.6399739
512,1,1024,256,1,1,84.060,64.560,13.570,0.080,3654.810,1331,11667,11.408%,222.790
512,1,1024,256,1,2,84.980,65.640,13.450,0.080,3694.830,1350,11667,11.571%,222.790
512,1,1024,256,1,3,84.590,65.110,13.470,0.080,3677.820,1293,11667,11.083%,222.790
512,1,1024,256,2,1,84.940,65.240,13.680,0.080,3692.980,1427,11667,12.231%,223.630
512,1,1024,256,2,2,84.440,64.990,13.540,0.080,3671.290,1389,11667,11.905%,223.630
512,1,1024,256,2,3,84.270,64.660,13.590,0.080,3664.070,1398,11667,11.983%,223.630
512,2,1024,256,1,1,84.170,64.340,13.480,0.110,3659.550,1229,11667,10.534%,224.440
512,2,1024,256,1,2,84.740,65.190,13.260,0.110,3684.180,1241,11667,10.637%,224.430
512,2,1024,256,1,3,85.170,65.700,13.510,0.080,3702.840,1321,11667,11.323%,223.470
512,2,1024,256,2,1,83.820,64.530,13.420,0.080,3644.260,1374,11667,11.777%,224.880
512,2,1024,256,2,2,84.770,65.410,13.500,0.080,3685.820,1382,11667,11.845%,224.880
512,2,1024,256,2,3,84.440,64.900,13.590,0.080,3671.350,1393,11667,11.940%,223.660
512,3,1024,256,1,1,85.460,65.770,13.690,0.080,3715.840,1274,11667,10.920%,223.470
512,3,1024,256,1,2,83.580,64.240,13.470,0.080,3633.710,1320,11667,11.314%,223.470
