Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,768,1,N/A,2,2,178.263,6366.534,3700,14000,26.429%,195.802
512,768,1,N/A,2,3,181.054,6466.218,3796,14000,27.114%,195.802
512,768,2,N/A,1,1,200.884,7174.421,3954,14000,28.243%,211.354
512,768,2,N/A,1,2,203.090,7253.200,3959,14000,28.279%,211.355
512,768,2,N/A,1,3,204.071,7288.248,3968,14000,28.343%,211.354
512,768,2,N/A,2,1,190.419,6285.552,3739,14000,26.707%,190.419
512,768,2,N/A,2,2,190.419,6371.356,3767,14000,26.907%,190.419
512,768,2,N/A,2,3,190.420,6485.792,3899,14000,27.850%,190.420
512,768,3,N/A,1,1,199.137,7112.035,4127,14000,29.479%,208.081
512,768,3,N/A,1,2,200.338,7154.942,4200,14000,30.000%,208.080
512,768,3,N/A,1,3,201.595,7199.812,4199,14000,29.993%,208.080
512,768,3,N/A,2,1,177.341,6333.617,3916,14000,27.971%,190.644
512,768,3,N/A,2,2,178.239,6365.693,3967,14000,28.336%,190.643
512,768,3,N/A,2,3,180.869,6459.596,4023,14000,28.736%,190.643
512,1024,1,N/A,1,1,164.689,5881.746,3364,14000,24.029%,171.138
512,1024,1,N/A,1,2,165.415,5907.662,3437,14000,24.550%,171.138
512,1024,1,N/A,1,3,163.761,5848.605,3379,14000,24.136%,171.137
512,1024,1,N/A,2,1,149.337,5333.452,3433,14000,24.521%,155.253
512,1024,1,N/A,2,2,149.110,5325.360,3387,14000,24.193%,155.253
512,1024,1,N/A,2,3,148.068,5288.128,3382,14000,24.157%,155.253
512,1024,2,N/A,1,1,170.740,6097.861,3004,14000,21.457%,179.377
512,1024,2,N/A,1,2,171.393,6121.194,2979,14000,21.279%,179.344
512,1024,2,N/A,1,3,170.228,6079.585,2971,14000,21.221%,179.333
512,1024,2,N/A,2,1,156.530,5590.368,2625,14000,18.750%,164.523
512,1024,2,N/A,2,2,157.954,5641.205,2637,14000,18.836%,164.523
512,1024,2,N/A,2,3,158.277,5652.752,2651,14000,18.936%,164.523
512,1024,3,N/A,1,1,164.528,5875.988,3262,14000,23.300%,173.901
512,1024,3,N/A,1,2,167.539,5983.547,3252,14000,23.229%,173.902
512,1024,3,N/A,1,3,168.140,6004.994,3205,14000,22.893%,173.902
512,1024,3,N/A,2,1,153.158,5469.939,2944,14000,21.029%,161.337
512,1024,3,N/A,2,2,154.571,5520.389,2994,14000,21.386%,161.337
512,1024,3,N/A,2,3,154.083,5502.953,2991,14000,21.364%,161.337
512,1280,1,N/A,1,1,145.569,5198.901,2791,14000,19.936%,152.703
512,1280,1,N/A,1,2,144.330,5154.659,2747,14000,19.621%,152.512
512,1280,1,N/A,1,3,142.066,5073.786,2712,14000,19.371%,152.581
512,1280,1,N/A,2,1,123.118,4397.087,2525,14000,18.036%,131.329
512,1280,1,N/A,2,2,120.833,4315.448,2484,14000,17.743%,131.331
512,1280,1,N/A,2,3,121.154,4326.945,2502,14000,17.871%,131.329
512,1280,2,N/A,1,1,145.024,5179.423,2817,14000,20.121%,151.420
512,1280,2,N/A,1,2,144.455,5159.119,2770,14000,19.786%,151.420
512,1280,2,N/A,1,3,142.938,5104.940,2784,14000,19.886%,151.420
512,1280,2,N/A,2,1,123.728,4418.850,2611,14000,18.650%,130.347
