Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,2,2560,2,2,170.909,6103.902,3130,14000,22.357%,179.903
512,1024,2,2560,2,3,172.535,6161.960,3150,14000,22.500%,179.904
512,1024,3,2560,1,1,169.369,6048.878,3037,14000,21.693%,176.873
512,1024,3,2560,1,2,166.091,5931.837,3034,14000,21.671%,176.874
512,1024,3,2560,1,3,171.531,6126.107,3016,14000,21.543%,176.873
512,1024,3,2560,2,1,168.714,6025.493,3248,14000,23.200%,179.473
512,1024,3,2560,2,2,169.431,6051.095,3205,14000,22.893%,179.473
512,1024,3,2560,2,3,173.356,6191.270,3291,14000,23.507%,179.472
512,1024,1,3072,1,1,168.290,6010.330,3246,14000,23.186%,173.610
512,1024,1,3072,1,2,160.250,5723.150,3143,14000,22.450%,173.610
512,1024,1,3072,1,3,161.610,5771.830,3114,14000,22.243%,173.610
512,1024,1,3072,2,1,169.550,6055.410,3431,14000,24.507%,175.710
512,1024,1,3072,2,2,164.780,5884.820,3380,14000,24.143%,175.710
512,1024,1,3072,2,3,168.230,6008.370,3400,14000,24.286%,175.710
512,1024,2,3072,1,1,170.730,6097.580,3148,14000,22.486%,180.960
512,1024,2,3072,1,2,165.240,5901.580,3044,14000,21.743%,180.960
512,1024,2,3072,1,3,173.900,6210.570,3091,14000,22.079%,180.960
512,1024,2,3072,2,1,170.980,6106.460,3412,14000,24.371%,177.000
512,1024,2,3072,2,2,165.500,5910.850,3239,14000,23.136%,177.000
512,1024,2,3072,2,3,170.310,6082.570,3342,14000,23.871%,177.000
512,1024,3,3072,1,1,168.790,6028.130,3177,14000,22.693%,174.150
512,1024,3,3072,1,2,163.960,5855.800,3088,14000,22.057%,174.150
512,1024,3,3072,1,3,166.830,5958.240,3110,14000,22.214%,174.150
512,1024,3,3072,2,1,169.940,6069.350,3362,14000,24.014%,175.970
512,1024,3,3072,2,2,165.230,5901.060,3283,14000,23.450%,175.970
512,1024,3,3072,2,3,167.670,5988.280,3343,14000,23.879%,175.960
1024,1024,1,512,1,1,355.070,25362.170,6777,14000,48.407%,365.930
1024,1024,1,512,1,2,353.520,25251.580,6797,14000,48.550%,365.930
1024,1024,1,512,1,3,356.290,25449.480,6791,14000,48.507%,365.930
1024,1024,1,512,2,1,346.150,24725.310,6795,14000,48.536%,359.690
1024,1024,1,512,2,2,348.650,24903.870,6815,14000,48.679%,359.690
1024,1024,1,512,2,3,348.400,24885.670,6704,14000,47.886%,359.690
1024,1024,2,512,1,1,350.120,25008.920,6748,14000,48.200%,365.710
1024,1024,2,512,1,2,351.580,25112.860,6823,14000,48.736%,365.710
1024,1024,2,512,1,3,355.720,25408.900,6795,14000,48.536%,365.710
1024,1024,2,512,2,1,343.040,24502.660,6741,14000,48.150%,355.160
1024,1024,2,512,2,2,340.960,24354.010,6675,14000,47.679%,355.160
1024,1024,2,512,2,3,344.100,24578.890,6719,14000,47.993%,355.160
1024,1024,3,512,1,1,366.960,26211.750,6810,14000,48.643%,382.330
1024,1024,3,512,1,2,366.470,26176.650,6769,14000,48.350%,382.330
1024,1024,3,512,1,3,368.070,26290.550,6772,14000,48.371%,382.330
1024,1024,3,512,2,1,370.750,26482.120,6755,14000,48.250%,392.900
1024,1024,3,512,2,2,373.510,26679.110,6784,14000,48.457%,392.900
1024,1024,3,512,2,3,382.630,27330.560,6727,14000,48.050%,392.900
1024,1024,1,1024,1,1,166.522,11894.424,3140,14000,22.429%,175.371
1024,1024,1,1024,1,2,169.297,12092.671,3151,14000,22.507%,175.371
1024,1024,1,1024,1,3,169.848,12131.966,3144,14000,22.457%,175.371
1024,1024,1,1024,2,1,169.193,12085.234,3254,14000,23.243%,178.883
1024,1024,1,1024,2,2,170.567,12183.330,3335,14000,23.821%,178.877
1024,1024,1,1024,2,3,172.489,12320.622,3286,14000,23.471%,178.884
1024,1024,2,1024,1,1,166.335,11881.050,2985,14000,21.321%,176.296
1024,1024,2,1024,1,2,168.581,12041.476,3065,14000,21.893%,176.295
1024,1024,2,1024,1,3,171.235,12231.079,3140,14000,22.429%,176.295
1024,1024,2,1024,2,1,170.555,12182.486,3250,14000,23.214%,179.368
1024,1024,2,1024,2,2,170.489,12177.812,3101,14000,22.150%,179.369
1024,1024,2,1024,2,3,171.493,12249.504,3247,14000,23.193%,179.368
1024,1024,3,1024,1,1,167.766,11983.276,2991,14000,21.364%,176.458
1024,1024,3,1024,1,2,170.422,12172.976,2991,14000,21.364%,176.458
1024,1024,3,1024,1,3,170.806,12200.430,2961,14000,21.150%,176.458
1024,1024,3,1024,2,1,166.783,11913.073,3197,14000,22.836%,180.649
1024,1024,3,1024,2,2,173.641,12402.939,3225,14000,23.036%,180.649
1024,1024,3,1024,2,3,172.254,12303.881,3226,14000,23.043%,180.649
1024,1024,1,1536,1,1,167.860,11989.800,2869,14000,20.493%,181.690
1024,1024,1,1536,1,2,168.820,12058.810,2913,14000,20.807%,181.690
1024,1024,1,1536,1,3,172.790,12342.150,2851,14000,20.364%,181.690
1024,1024,1,1536,2,1,170.700,12192.580,3236,14000,23.114%,179.300
1024,1024,1,1536,2,2,166.040,11859.700,3182,14000,22.729%,179.300
1024,1024,1,1536,2,3,173.800,12413.930,3260,14000,23.286%,179.300
1024,1024,2,1536,1,1,168.000,11999.870,3094,14000,22.100%,175.680
1024,1024,2,1536,1,2,165.030,11787.920,3030,14000,21.643%,175.680
1024,1024,2,1536,1,3,170.220,12158.880,3060,14000,21.857%,175.680
1024,1024,2,1536,2,1,170.450,12175.050,3148,14000,22.486%,178.700
1024,1024,2,1536,2,2,164.010,11715.110,3095,14000,22.107%,178.700
1024,1024,2,1536,2,3,173.580,12398.340,3149,14000,22.493%,178.700
1024,1024,3,1536,1,1,168.020,12001.580,3016,14000,21.543%,178.890
1024,1024,3,1536,1,2,162.710,11622.430,2895,14000,20.679%,178.890
1024,1024,3,1536,1,3,174.000,12428.830,3069,14000,21.921%,178.890
1024,1024,3,1536,2,1,168.450,12032.410,3126,14000,22.329%,179.580
1024,1024,3,1536,2,2,163.060,11647.240,3002,14000,21.443%,179.580
1024,1024,3,1536,2,3,174.740,12481.700,3177,14000,22.693%,179.580
1024,1024,1,2048,1,1,166.331,11880.772,3151,14000,22.507%,179.593
1024,1024,1,2048,1,2,170.785,12198.945,3157,14000,22.550%,179.592
1024,1024,1,2048,1,3,172.745,12338.924,3134,14000,22.386%,179.593
1024,1024,1,2048,2,1,167.859,11989.949,3288,14000,23.486%,176.195
1024,1024,1,2048,2,2,169.739,12124.244,3259,14000,23.279%,176.196
1024,1024,1,2048,2,3,170.825,12201.758,3291,14000,23.507%,176.195
1024,1024,2,2048,1,1,164.567,11754.755,3099,14000,22.136%,180.014
1024,1024,2,2048,1,2,170.415,12172.501,3257,14000,23.264%,180.014
1024,1024,2,2048,1,3,174.168,12440.576,3207,14000,22.907%,180.014
1024,1024,2,2048,2,1,164.715,11765.355,3311,14000,23.650%,178.212
1024,1024,2,2048,2,2,170.031,12145.048,3295,14000,23.536%,178.212
1024,1024,2,2048,2,3,170.881,12205.771,3343,14000,23.879%,178.211
1024,1024,3,2048,1,1,163.441,11674.387,3013,14000,21.521%,179.340
1024,1024,3,2048,1,2,171.213,12229.501,3104,14000,22.171%,179.340
1024,1024,3,2048,1,3,173.883,12420.227,3122,14000,22.300%,179.340
1024,1024,3,2048,2,1,164.830,11773.580,3331,14000,23.793%,177.171
1024,1024,3,2048,2,2,169.757,12125.503,3343,14000,23.879%,177.171
1024,1024,3,2048,2,3,171.730,12266.460,3309,14000,23.636%,177.171
1024,1024,1,2560,1,1,168.774,12055.264,3023,14000,21.593%,177.429
1024,1024,1,2560,1,2,169.937,12138.381,3103,14000,22.164%,177.430
1024,1024,1,2560,1,3,171.102,12221.540,3045,14000,21.750%,177.430
1024,1024,1,2560,2,1,169.003,12071.624,3265,14000,23.321%,175.446
1024,1024,1,2560,2,2,169.335,12095.322,3260,14000,23.286%,175.446
1024,1024,1,2560,2,3,169.175,12083.948,3333,14000,23.807%,175.446
1024,1024,2,2560,1,1,164.434,11745.264,3189,14000,22.779%,174.428
1024,1024,2,2560,1,2,168.441,12031.472,3180,14000,22.714%,174.428
1024,1024,2,2560,1,3,167.411,11957.901,3130,14000,22.357%,174.428
1024,1024,2,2560,2,1,168.399,12028.486,3358,14000,23.986%,176.720
1024,1024,2,2560,2,2,170.770,12197.827,3379,14000,24.136%,176.720
1024,1024,2,2560,2,3,170.217,12158.391,3292,14000,23.514%,176.720
1024,1024,3,2560,1,1,166.213,11872.372,3286,14000,23.471%,174.178
1024,1024,3,2560,1,2,166.740,11910.022,3230,14000,23.071%,174.178
1024,1024,3,2560,1,3,168.012,12000.876,3230,14000,23.071%,174.179
1024,1024,3,2560,2,1,165.919,11851.343,3358,14000,23.986%,177.556
1024,1024,3,2560,2,2,168.432,12030.826,3453,14000,24.664%,177.556
1024,1024,3,2560,2,3,172.120,12294.281,3445,14000,24.607%,177.555
1024,1024,1,3072,1,1,168.340,12024.130,2960,14000,21.143%,174.490
1024,1024,1,3072,1,2,165.300,11806.800,2955,14000,21.107%,174.490
1024,1024,1,3072,1,3,168.650,12046.480,2967,14000,21.193%,174.490
1024,1024,1,3072,2,1,170.610,12186.400,3092,14000,22.086%,176.040
1024,1024,1,3072,2,2,167.440,11959.710,3055,14000,21.821%,176.040
1024,1024,1,3072,2,3,167.150,11939.110,3054,14000,21.814%,176.040
1024,1024,2,3072,1,1,168.340,12024.190,3075,14000,21.964%,173.890
1024,1024,2,3072,1,2,164.950,11782.390,3085,14000,22.036%,173.890
1024,1024,2,3072,1,3,167.430,11959.320,3049,14000,21.779%,173.890
1024,1024,2,3072,2,1,170.430,12173.790,3206,14000,22.900%,175.720
1024,1024,2,3072,2,2,164.970,11783.660,3165,14000,22.607%,175.720
1024,1024,2,3072,2,3,169.230,12087.720,3154,14000,22.529%,175.720
1024,1024,3,3072,1,1,171.570,12255.010,3032,14000,21.657%,176.520
1024,1024,3,3072,1,2,164.460,11747.340,2938,14000,20.986%,176.520
1024,1024,3,3072,1,3,168.660,12047.270,2990,14000,21.357%,176.520
1024,1024,3,3072,2,1,171.950,12282.280,3177,14000,22.693%,176.740
1024,1024,3,3072,2,2,166.160,11868.830,3159,14000,22.564%,176.740
1024,1024,3,3072,2,3,168.070,12005.270,3149,14000,22.493%,176.740
512,1024,1,3500,1,1,164.840,5887.080,2681,14000,19.150%,173.250
512,1024,1,3500,1,2,165.430,5908.200,2686,14000,19.186%,173.250
512,1024,1,3500,1,3,164.930,5890.500,2761,14000,19.721%,173.170
512,1024,1,3500,2,1,166.470,5945.530,3033,14000,21.664%,173.500
512,1024,1,3500,2,2,166.420,5943.550,3024,14000,21.600%,173.500
512,1024,1,3500,2,3,166.130,5933.230,3078,14000,21.986%,173.500
512,1024,2,3500,1,1,162.950,5819.510,2914,14000,20.814%,169.140
512,1024,2,3500,1,2,162.820,5815.140,2986,14000,21.329%,169.140
512,1024,2,3500,1,3,162.580,5806.290,2919,14000,20.850%,169.140
512,1024,2,3500,2,1,164.730,5883.360,3250,14000,23.214%,172.700
512,1024,2,3500,2,2,165.600,5914.260,3204,14000,22.886%,172.700
512,1024,2,3500,2,3,164.800,5885.670,3234,14000,23.100%,172.700
512,1024,3,3500,1,1,164.980,5892.100,2997,14000,21.407%,171.760
512,1024,3,3500,1,2,163.740,5847.730,3002,14000,21.443%,171.760
512,1024,3,3500,1,3,165.770,5920.190,3057,14000,21.836%,171.760
512,1024,3,3500,2,1,163.790,5849.640,3183,14000,22.736%,170.970
512,1024,3,3500,2,2,163.370,5834.530,3171,14000,22.650%,170.970
512,1024,3,3500,2,3,164.840,5887.320,3275,14000,23.393%,170.970
512,1024,1,7000,1,1,168.724,6025.866,3211,14000,22.936%,174.888
512,1024,1,7000,1,2,167.680,5988.558,3122,14000,22.300%,174.887
512,1024,1,7000,1,3,166.986,5963.785,3096,14000,22.114%,174.888
512,1024,1,7000,2,1,174.237,6222.746,3410,14000,24.357%,181.427
512,1024,1,7000,2,2,171.196,6114.148,3328,14000,23.771%,181.427
512,1024,1,7000,2,3,171.567,6127.392,3355,14000,23.964%,181.427
512,1024,2,7000,1,1,170.068,6073.873,3132,14000,22.371%,175.318
512,1024,2,7000,1,2,168.081,6002.884,3034,14000,21.671%,175.318
512,1024,2,7000,1,3,166.756,5955.578,2983,14000,21.307%,175.319
512,1024,2,7000,2,1,172.640,6165.727,3266,14000,23.329%,180.256
512,1024,2,7000,2,2,172.009,6143.169,3238,14000,23.129%,180.256
512,1024,2,7000,2,3,171.464,6123.717,3213,14000,22.950%,180.256
512,1024,3,7000,1,1,171.748,6133.844,3160,14000,22.571%,180.997
512,1024,3,7000,1,2,173.693,6203.331,3115,14000,22.250%,180.997
