Batch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,N/A,1,1,796.512720108032,751.30455493927,29.3797991275787,34630.987830784,11667,11667,1,944.07513189315
512,1,N/A,1,2,777.249891042709,743.918961286544,22.9335830211639,33793.473523596,11667,11667,1,944.098594903945
512,1,N/A,1,3,767.17005896568,734.274760961532,22.5781424045562,33355.2199550296,11667,11667,1,944.127768754959
512,1,N/A,2,1,486.361000061035,451.529040336608,23.0836126804351,21146.1304374363,7796,11667,0.6682094797291506,632.08170270919
512,1,N/A,2,2,471.867373228073,445.065931558609,18.7774248123168,20515.9727490466,7715,11667,0.661266820947973,632.083791971206
512,1,N/A,2,3,473.287093400955,447.595227479934,18.1245071887969,20577.699713085,7806,11667,0.6690665980971973,632.08319568634
512,2,N/A,1,1,752.13356304168,707.21233510971,29.5427093505859,32701.459262682,11667,11667,1,896.079200029373
512,2,N/A,1,2,735.355959177017,703.406783819198,22.1167685985565,31971.9982250877,11667,11667,1,896.081969261169
512,2,N/A,1,3,722.07420682907,691.06913614273,21.6480429172515,31394.5307316987,11667,11667,1,896.080604076385
512,2,N/A,2,1,480.885936021804,447.155535936355,22.4511406421661,20908.084174861,7757,11667,0.6648667180937687,632.822794198989
512,2,N/A,2,2,472.5829808712,446.315833091735,18.3557493686676,20547.0861248348,7697,11667,0.659724007885489,632.821526288986
512,2,N/A,2,3,484.049813985824,452.473725795745,21.0558609962463,21045.64408634,7767,11667,0.6657238364618153,632.821872711181
512,3,N/A,1,1,749.257517576217,705.366790771484,28.8222901821136,32576.4138076616,11667,11667,1,890.607447862625
512,3,N/A,1,2,720.945511579513,689.32867693901,21.9398117065429,31345.4570251962,11667,11667,1,890.608973264694
512,3,N/A,1,3,720.1545183658,685.66307067871,23.4544994831085,31311.0660159069,11667,11667,1,890.608564615249
512,3,N/A,2,1,486.460921287536,453.159552812576,22.1842539310455,21150.4748385885,7701,11667,0.6600668552327076,634.991181612014
512,3,N/A,2,2,472.473472118377,446.318513393402,18.3144936561584,20542.324874712,7743,11667,0.6636667523785035,634.990922451019
512,3,N/A,2,3,475.930248498916,447.272145271301,19.5218963623046,20692.6194999528,7741,11667,0.6634953287048941,634.990494012832
512,1,2916,1,1,726.861122846603,683.568338632583,28.5948052406311,31602.6575150697,11667,11667,1,870.244156122207
512,1,2916,1,2,713.938984632492,681.597682476043,22.5706675052642,31040.8254188,11667,11667,1,870.24633622169
512,1,2916,1,3,716.680403232574,681.758509635925,23.8968825340271,31160.017531851,11667,11667,1,870.243874549865
512,1,2916,2,1,706.47556495666,662.223166704177,29.2529909610748,30716.3289111593,11554,11667,0.9903145624410731,850.382282733917
512,1,2916,2,2,691.150369882583,658.882130861282,22.5632359981536,30050.0160818514,11566,11667,0.9913431044827291,850.38185691833
512,1,2916,2,3,691.87075138092,657.762368440628,23.558524608612,30081.3370165617,11540,11667,0.9891145967258078,850.38160538673
512,2,2916,1,1,723.521268606185,677.8348031044,30.2499296665191,31457.4464611385,11667,11667,1,867.07119107246
512,2,2916,1,2,702.644542455673,670.331462144851,22.4264464378356,30549.762715464,11667,11667,1,867.075610637664
512,2,2916,1,3,707.338735580444,669.975039720535,25.2552344799041,30753.8580687149,11667,11667,1,867.070071697235
512,2,2916,2,1,709.210377454757,664.567188501358,29.7536416053771,30835.2338023807,11545,11667,0.9895431559098311,854.49911403656
512,2,2916,2,2,694.558628797531,662.369687318801,22.3864533901214,30198.2012520665,11551,11667,0.9900574269306591,854.50123882293
512,2,2916,2,3,697.799075841903,660.467964410781,25.2642817497253,30339.0902539958,11517,11667,0.9871432244793006,854.502101421356
512,3,2916,1,1,734.474751234054,690.792132139205,28.9559590816497,31933.6848362632,11667,11667,1,874.394914627075
512,3,2916,1,2,705.43226647377,673.347232103347,22.3754222393035,30670.9681075552,11667,11667,1,874.395745515823
512,3,2916,1,3,713.358249902725,678.955086708068,23.6094799041748,31015.5760827271,11667,11667,1,874.394781827926
512,3,2916,2,1,710.575328350067,665.622839450836,29.8286879062652,30894.5794934811,11532,11667,0.9884289020313706,856.312472581863
512,3,2916,2,2,695.994570255279,664.38304901123,22.1266438961029,30260.6334893599,11547,11667,0.9897145795834404,856.312413215637
512,3,2916,2,3,700.090938568115,665.127751111984,24.0819964408874,30438.7364594832,11545,11667,0.9895431559098311,856.31260061264
512,1,5833,1,1,749.911163806915,704.711956739425,29.8194103240966,32604.8332089963,11667,11667,1,890.920269250869
512,1,5833,1,2,728.248868227,695.548129320144,22.6470367908477,31662.9942707393,11667,11667,1,890.919706344604
512,1,5833,1,3,729.581712245941,695.335287809372,23.5664570331573,31720.944010693,11667,11667,1,890.920185565948
512,1,5833,2,1,707.89755654335,663.579065084457,29.3972227573394,30778.1546323195,11138,11667,0.9546584383303334,848.613260746002
512,1,5833,2,2,682.9181163311,652.950300216674,21.0238616466522,29692.0920143956,11105,11667,0.9518299477157796,848.613343954086
512,1,5833,2,3,687.417690753936,652.516268253326,23.9408755302429,29887.7256849537,11148,11667,0.9555155566983801,848.613878011703
512,2,5833,1,1,726.059511661529,680.751806974411,29.9282348155975,31567.8048548491,11667,11667,1,870.622899770736
512,2,5833,1,2,709.01058268547,678.060462713241,21.5777344703674,30826.5470732813,11667,11667,1,870.62356233596
512,2,5833,1,3,717.061684608459,685.197832345962,22.3040311336517,31176.594982976,11667,11667,1,870.622433662414
512,2,5833,2,1,682.349077224731,638.478134155273,29.1313877105712,29667.3511836839,11080,11667,0.949687151795663,826.40249443054
512,2,5833,2,2,669.32178068161,639.54369688034,20.8757998943328,29100.9469861569,11147,11667,0.9554298448615753,826.399149894714
512,2,5833,2,3,671.172491073608,638.972319602966,22.4339315891265,29181.4126553742,11130,11667,0.9539727436358961,826.398182153701
512,3,5833,1,1,727.02407002449,684.797449827194,27.9605965614318,31609.7421749778,11667,11667,1,879.406183242797
512,3,5833,1,2,723.066878318786,692.447968959808,21.4352056980133,31437.6903616863,11667,11667,1,879.40781545639
512,3,5833,1,3,723.964400291442,685.312139749527,25.7784821987152,31476.7130561496,11667,11667,1,879.40791273117
512,3,5833,2,1,694.808522701263,652.052724599838,28.438793182373,30209.0662044027,11115,11667,0.9526870660838261,839.19471430778
512,3,5833,2,2,680.270847558975,650.357706785202,21.0552206039428,29576.9933721293,11125,11667,0.9535441844518728,839.19368624687
512,3,5833,2,3,681.26426243782,649.4037733078,22.2804818153381,29620.185323383,11141,11667,0.9549155738407474,839.193870782852
512,1,8750,1,1,715.786790132522,672.91453051567,28.347685098648,31121.1647883705,11667,11667,1,873.138421297073
512,1,8750,1,2,702.131479740142,671.781895637512,21.1500859260559,30527.4556408757,11667,11667,1,873.143130779266
512,1,8750,1,3,706.538595676422,675.478219032287,21.6576323509216,30719.0693772357,11667,11667,1,873.13937425613
512,1,8750,2,1,642.807099342346,601.650811910629,27.4253733158111,27948.134754015,10384,11667,0.8900317133796177,789.052746772766
512,1,8750,2,2,618.521859645843,589.4969124794,20.3472065925598,26892.2547672105,10351,11667,0.8872032227650638,789.05184054374
512,1,8750,2,3,618.022506952285,587.220430135726,21.4765963554382,26870.5437805341,10411,11667,0.8923459329733436,789.051458358764
512,2,8750,1,1,709.225386381149,665.768761873245,28.7094850540161,30835.8863643977,11667,11667,1,852.526253223419
