Batch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
1024,1,7000,2,1,803.606862783432,766.982762813568,26.0278222560882,57400.4901988165,13336,14000,0.9525714285714286,819.681021213531
1024,1,7000,2,2,805.284407615661,769.680572032928,25.8464715480804,57520.3148296901,13359,14000,0.9542142857142857,805.284407615661
1024,1,7000,2,3,800.68415236473,765.473792791366,25.5298931598663,57191.7251689093,13289,14000,0.9492142857142857,819.678408145904
1024,2,7000,1,1,840.018220186233,806.610758781433,24.2871673107147,60001.3014418738,14000,14000,1,862.577592372894
1024,2,7000,1,2,851.991553544998,817.863498449325,24.7505066394805,60856.5395389284,14000,14000,1,862.576920986175
1024,2,7000,1,3,835.4858212471,802.264194965362,24.1793603897094,59677.5586605072,14000,14000,1,862.576895236969
1024,2,7000,2,1,808.575883388519,770.776958942413,27.007490158081,57755.420242037,13344,14000,0.9531428571428572,826.262318611145
1024,2,7000,2,2,813.311560392379,774.053518772125,27.7528116703033,58093.6828851699,13345,14000,0.9532142857142857,826.262609481811
1024,2,7000,2,3,799.608028650283,768.227879047393,22.9404838085174,57114.8591893059,13329,14000,0.9520714285714286,826.263005971908
1024,3,7000,1,1,850.053822278976,813.082513332367,26.6459903717041,60718.130162784,14000,14000,1,863.975305080413
1024,3,7000,1,2,851.351025819778,811.489719390869,28.3278505802154,60810.7875585556,14000,14000,1,863.975357770919
1024,3,7000,1,3,837.016998767852,805.698504209518,22.7999105453491,59786.928483418,14000,14000,1,863.975370645523
1024,3,7000,2,1,806.404990434646,769.86625957489,26.4064178466796,57600.3564596176,13392,14000,0.9565714285714285,822.516449689865
1024,3,7000,2,2,804.604563951492,763.945535421371,28.7580749988555,57471.7545679637,13339,14000,0.9527857142857142,822.517299890518
1024,3,7000,2,3,800.490268230438,766.796732664108,24.306181192398,57177.8763021741,13348,14000,0.9534285714285714,822.51742696762
1024,1,10500,1,1,867.50977396965,829.476891994476,27.1687777042388,61964.983854975,14000,14000,1,883.668812990188
1024,1,10500,1,2,865.770798206329,827.037328004837,27.5427982807159,61840.7713004521,14000,14000,1,883.668689489364
1024,1,10500,1,3,870.340731143951,827.837176084518,29.483662366867,62167.1950817108,14000,14000,1,883.668921232223
1024,1,10500,2,1,786.732187271118,751.45128250122,25.4485738277435,56195.1562336512,12440,14000,0.8885714285714286,807.420387744903
1024,1,10500,2,2,792.977732181549,755.851617336273,26.4863851070404,56641.2665843963,12449,14000,0.8892142857142857,807.420876264572
1024,1,10500,2,3,782.836708307266,746.000072479248,26.170740365982,55916.9077362333,12390,14000,0.885,807.420927762985
1024,2,10500,1,1,845.991029024124,806.973551273346,27.652370929718,60427.9306445802,14000,14000,1,859.211316347122
1024,2,10500,1,2,837.794402360916,803.484682559967,24.8929424285888,59842.457311494,14000,14000,1,859.211131811142
1024,2,10500,1,3,838.102792263031,803.230821132659,25.2652397155761,59864.485161645,14000,14000,1,859.210962295532
1024,2,10500,2,1,765.887171268463,731.973523139953,24.641212940216,54706.2265191759,12447,14000,0.8890714285714286,787.397799253463
1024,2,10500,2,2,774.247391462326,741.759881973266,23.6900532245636,55303.3851044518,12400,14000,0.8857142857142857,787.397978067398
1024,2,10500,2,3,760.317385673523,727.353221416473,24.0043756961822,54308.3846909659,12406,14000,0.8861428571428571,787.397991895675
1024,3,10500,1,1,845.991029024124,806.973551273346,27.652370929718,60427.9306445802,14000,14000,1,859.211316347122
1024,3,10500,1,2,837.794402360916,803.484682559967,24.8929424285888,59842.457311494,14000,14000,1,859.211131811142
1024,3,10500,1,3,838.102792263031,803.230821132659,25.2652397155761,59864.485161645,14000,14000,1,859.210962295532
1024,3,10500,2,1,765.887171268463,731.973523139953,24.641212940216,54706.2265191759,12447,14000,0.8890714285714286,787.397799253463
1024,3,10500,2,2,774.247391462326,741.759881973266,23.6900532245636,55303.3851044518,12400,14000,0.8857142857142857,787.397978067398
1024,3,10500,2,3,760.317385673523,727.353221416473,24.0043756961822,54308.3846909659,12406,14000,0.8861428571428571,787.397991895675
