Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,3,1536,1,2,136.99,118.35,12.75,0.08,5955.95,2401,11667,0.2057941201679952,277.51
512,1024,3,1536,1,3,136.33,117.95,12.58,0.08,5927.55,2281,11667,0.19550869975143567,278.15
512,1024,3,1536,2,1,136.46,118.65,12.17,0.08,5933.03,2497,11667,0.21402245650124282,280.77
512,1024,3,1536,2,2,140.94,122.15,12.85,0.09,6127.75,2568,11667,0.22010799691437388,280.77
512,1024,3,1536,2,3,138.44,119.92,12.69,0.08,6018.97,2380,11667,0.20399417159509728,285.27
512,1024,1,2048,1,1,129.8098051548,112.915254116058,11.6247477531433,0.0864813327789306,5643.90457194784,1995,11667,0.17099511442530213,275.67544221878
512,1024,1,2048,1,2,138.289180278778,119.26274061203,12.9944279193878,0.0966386795043945,6012.57305559904,2096,11667,0.17965200994257308,275.676308870315
512,1024,1,2048,1,3,127.907226800918,111.400371074676,11.2758934497833,0.0981702804565429,5561.18377395298,2040,11667,0.17485214708151195,275.68237709999
512,1024,1,2048,2,1,133.350182533264,116.507576704025,11.5683362483978,0.0819525718688964,5797.83402318539,2096,11667,0.17965200994257308,281.769142627716
512,1024,1,2048,2,2,143.674659967422,124.292121171951,13.1956849098205,0.0887925624847412,6246.72434640967,2262,11667,0.1938801748521471,281.768180608749
512,1024,1,2048,2,3,129.329843759536,113.172117948532,11.0697615146636,0.0932145118713378,5623.0366851972,2044,11667,0.1751949944287306,281.767248868942
512,1024,2,2048,1,1,132.284822463989,115.491791963577,11.5379557609558,0.0831422805786132,5751.51402017344,2041,11667,0.17493785891831662,277.199910879135
512,1024,2,2048,1,2,139.785860538482,120.822618722915,12.9112000465393,0.0870387554168701,6077.64611036881,2050,11667,0.1757092654495586,277.200618267059
512,1024,2,2048,1,3,129.680542707443,112.92032623291,11.5255930423736,0.0929064750671386,5638.28446554101,1960,11667,0.16799520013713895,277.201464891433
512,1024,2,2048,2,1,131.074508428573,114.733449220657,11.2481961250305,0.0836515426635742,5698.89167080754,2046,11667,0.17536641810233994,278.341169834136
512,1024,2,2048,2,2,141.5420012474,122.625478982925,12.8824820518493,0.0875120162963867,6154.00005423504,2183,11667,0.18710893974457873,278.341413736343
512,1024,2,2048,2,3,132.375005483627,115.853180885314,11.3571126461029,0.0925109386444091,5755.43502102727,2110,11667,0.18085197565783834,278.340071201324
512,1024,3,2048,1,1,128.191507101058,111.721005916595,11.3596034049987,0.0826783180236816,5573.54378700256,2061,11667,0.17665209565440987,273.251459836959
512,1024,3,2048,1,2,136.435141801834,117.783437252044,12.7581815719604,0.0886085033416748,5931.96268703626,2117,11667,0.181451958515471,273.251013755798
512,1024,3,2048,1,3,128.607813596725,111.960807085037,11.4055514335632,0.0939373970031738,5591.64406942284,2028,11667,0.173823605039856,273.253329515457
512,1024,3,2048,2,1,134.006133317947,116.367058515548,12.0610871315002,0.0820276737213134,5826.35362251945,2145,11667,0.18385188994600155,278.080156087875
