Batch Size,Trial #,Epoch,Node,Data Loading Time (s),Disk Loading Time (s),Data Loading Time Per Batch (ms),Epoch Run Time (s)
512,1,1,1,69.0543048381805,62.7934379577636,2466.22517279216,79.1736996173858
512,1,1,2,70.8676087856292,64.7705478668212,2530.98602805818,79.1737492084503
512,1,1,3,67.8417217731475,61.8472621440887,2422.91863475527,79.1735334396362
512,1,2,1,48.122188091278,41.9825513362884,1718.6495746885,59.3211658000946
512,1,2,2,50.5075688362121,44.5937325954437,1803.84174415043,59.3215277194976
512,1,2,3,46.6466360092163,40.7856559753418,1665.95128604343,59.3220195770263
512,2,1,1,106.583780765533,100.125125885009,3806.56359876905,121.972848892211
512,2,1,2,110.345964670181,104.116334915161,3940.92730964933,121.972387313842
512,2,1,3,107.401908874511,101.154470443725,3835.78245980399,121.972804546356
512,2,2,1,75.3330810070037,69.031141757965,2690.46717882156,87.3293626308441
512,2,2,2,78.0644845962524,71.9983565807342,2788.01730700901,87.3291497230529
512,2,2,3,74.1409199237823,68.0641400814056,2647.88999727794,87.3290905952453
512,3,1,1,172.566576957702,165.71650314331,6163.09203420366,188.503294467926
512,3,1,2,179.231639385223,172.639926195144,6401.12997804369,188.502758264541
512,3,1,3,171.936112642288,165.392027139663,6140.57545151029,188.502785205841
512,3,2,1,121.536766052246,114.994387865066,4340.59878758021,135.422157287597
512,3,2,2,125.206412315368,118.878051280975,4471.65758269173,135.422573804855
512,3,2,3,120.281996726989,113.997987508773,4295.78559739249,135.42237496376
1024,1,1,1,44.1473541259765,38.0708849430084,3153.38243756975,53.4753198623657
1024,1,1,2,47.1172239780426,41.1383924484252,3365.51599843161,53.4759230613708
1024,1,1,3,43.0725212097168,37.2139203548431,3076.60865783691,53.4781804084777
1024,1,2,1,30.9830334186553,24.9826786518096,2213.07381561824,38.8374280929565
1024,1,2,2,33.0698156356811,27.1175057888031,2362.12968826293,38.8370490074157
1024,1,2,3,29.7422482967376,23.9485075473785,2124.44630690983,38.8345808982849
1024,2,1,1,28.543958902359,22.548327922821,2038.85420731135,37.3348925113678
1024,2,1,2,29.6475760936737,23.7689886093139,2117.68400669097,37.3338737487793
1024,2,1,3,32.1581037044525,26.2729647159576,2297.00740746089,37.3345456123352
1024,2,2,1,21.0633406639099,15.0887787342071,1504.52433313642,27.9831099510192
1024,2,2,2,21.8516590595245,16.0641956329345,1560.83278996603,27.9837779998779
1024,2,2,3,20.3301661014556,14.5515229701995,1452.15472153254,27.983993768692
1024,3,1,1,19.5983729362487,13.7018671035766,1399.88378116062,26.2928001880645
1024,3,1,2,20.137199640274,14.4367659091949,1438.37140287671,26.2926113605499
1024,3,1,3,19.1324269771575,13.39817237854,1366.60192693982,26.2926075458526
1024,3,2,1,15.6120364665985,9.71789216995239,1115.14546189989,21.4991018772125
1024,3,2,2,15.6574983596801,9.97136998176574,1118.39273997715,21.4992096424102
1024,3,2,3,15.124281167984,9.43419098854065,1080.30579771314,21.4996802806854
