Batch Size,Trial #,Epoch,Node,Data Loading Time (s),Disk Loading Time (s),Data Loading Time Per Batch (ms),Epoch Run Time (s)
512,1,1,1,290.88885474205,278.401287794113,12647.3415105239,432.192093133926
512,1,1,2,267.461798667907,259.03096294403,11628.7738551264,432.207970619201
512,1,1,3,283.034789800643,272.655215024948,12305.8604261149,432.264244556427
512,1,2,1,194.621462345123,184.605522871017,8461.80271065753,336.600918769836
512,1,2,2,184.223457813262,176.356159448623,8009.71555709838,336.599024772644
512,1,2,3,188.263254642486,179.592652320861,8185.35889749941,336.600769996643
512,2,1,1,177.405046463012,167.549007177352,7713.2628896962,319.103441238403
512,2,1,2,165.30297088623,157.717809438705,5144.5695835611,319.101442575454
512,2,1,3,173.876838684082,165.413980007171,7559.86255148182,319.105826616287
512,2,2,1,124.667769432067,115.851432085037,5420.33780139425,264.243356704711
512,2,2,2,118.325100421905,111.600625991821,5144.5695835611,264.243724822998
512,2,2,3,115.578050851821,107.82040309906,5025.13264573138,264.241461038589
512,3,1,1,110.685798168182,102.099260091781,4812.42600731227,254.494881868362
512,3,1,2,106.4478931427,99.7984762191772,4628.16926707392,254.49345254898
512,3,1,3,108.805873394012,101.08018040657,4730.69014756575,254.493531703948
512,3,2,1,79.061894416809,71.00746011734,3437.47367029604,220.419430494308
512,3,2,2,75.4514656066894,68.9474365711212,3280.49850463867,220.419116258621
512,3,2,3,77.5223500728607,70.2085320949554,3370.53695968959,220.419093132019
