Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,2,2048,1,2,139.786,120.823,12.911,0.087,6077.646,2050,11667,17.571%,277.201
512,1024,2,2048,1,3,129.681,112.920,11.526,0.093,5638.284,1960,11667,16.800%,277.201
512,1024,2,2048,2,1,131.075,114.733,11.248,0.084,5698.892,2046,11667,17.537%,278.341
512,1024,2,2048,2,2,141.542,122.625,12.882,0.088,6154.000,2183,11667,18.711%,278.341
512,1024,2,2048,2,3,132.375,115.853,11.357,0.093,5755.435,2110,11667,18.085%,278.340
512,1024,3,2048,1,1,128.192,111.721,11.360,0.083,5573.544,2061,11667,17.665%,273.251
512,1024,3,2048,1,2,136.435,117.783,12.758,0.089,5931.963,2117,11667,18.145%,273.251
512,1024,3,2048,1,3,128.608,111.961,11.406,0.094,5591.644,2028,11667,17.382%,273.253
512,1024,3,2048,2,1,134.006,116.367,12.061,0.082,5826.354,2145,11667,18.385%,278.080
512,1024,3,2048,2,2,137.820,119.190,12.783,0.086,5992.169,2179,11667,18.677%,278.079
512,1024,3,2048,2,3,135.766,117.551,12.426,0.098,5902.853,2128,11667,18.239%,278.081
512,1024,1,2560,1,1,137.960,119.400,12.690,0.080,5998.230,2337,11667,20.031%,278.090
512,1024,1,2560,1,2,138.740,119.740,12.940,0.090,6032.130,2325,11667,19.928%,278.100
512,1024,1,2560,1,3,135.180,117.130,12.330,0.080,5877.510,2325,11667,19.928%,275.810
512,1024,1,2560,2,1,139.350,120.790,12.660,0.080,6058.860,2496,11667,21.394%,280.140
512,1024,1,2560,2,2,139.360,120.170,13.090,0.080,6059.260,2396,11667,20.537%,280.130
512,1024,1,2560,2,3,140.510,121.490,12.430,0.080,6108.980,2399,11667,20.562%,280.790
512,1024,2,2560,1,1,134.990,116.800,12.440,0.080,5869.220,2345,11667,20.099%,275.810
512,1024,2,2560,1,2,136.370,117.630,12.810,0.080,5928.970,2375,11667,20.357%,276.140
512,1024,2,2560,1,3,135.280,116.930,12.590,0.080,5881.720,2324,11667,19.919%,278.090
512,1024,2,2560,2,1,137.170,119.210,12.340,0.080,5964.060,2406,11667,20.622%,280.790
512,1024,2,2560,2,2,138.160,119.390,12.720,0.090,6006.760,2473,11667,21.197%,279.690
512,1024,2,2560,2,3,138.320,119.990,12.580,0.080,6014.100,2437,11667,20.888%,280.140
512,1024,3,2560,1,1,136.390,118.020,12.540,0.080,5929.890,2367,11667,20.288%,276.140
