Batch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,N/A,1,1,796.513,751.305,29.380,34630.988,11667,11667,100.000%,944.075
512,1,N/A,1,2,777.250,743.919,22.934,33793.474,11667,11667,100.000%,944.099
512,1,N/A,1,3,767.170,734.275,22.578,33355.220,11667,11667,100.000%,944.128
512,1,N/A,2,1,486.361,451.529,23.084,21146.130,7796,11667,66.821%,632.082
512,1,N/A,2,2,471.867,445.066,18.777,20515.973,7715,11667,66.127%,632.084
512,1,N/A,2,3,473.287,447.595,18.125,20577.700,7806,11667,66.907%,632.083
512,2,N/A,1,1,752.134,707.212,29.543,32701.459,11667,11667,100.000%,896.079
512,2,N/A,1,2,735.356,703.407,22.117,31971.998,11667,11667,100.000%,896.082
512,2,N/A,1,3,722.074,691.069,21.648,31394.531,11667,11667,100.000%,896.081
512,2,N/A,2,1,480.886,447.156,22.451,20908.084,7757,11667,66.487%,632.823
512,2,N/A,2,2,472.583,446.316,18.356,20547.086,7697,11667,65.972%,632.822
512,2,N/A,2,3,484.050,452.474,21.056,21045.644,7767,11667,66.572%,632.822
512,3,N/A,1,1,749.258,705.367,28.822,32576.414,11667,11667,100.000%,890.607
512,3,N/A,1,2,720.946,689.329,21.940,31345.457,11667,11667,100.000%,890.609
512,3,N/A,1,3,720.155,685.663,23.454,31311.066,11667,11667,100.000%,890.609
512,3,N/A,2,1,486.461,453.160,22.184,21150.475,7701,11667,66.007%,634.991
512,3,N/A,2,2,472.473,446.319,18.314,20542.325,7743,11667,66.367%,634.991
512,3,N/A,2,3,475.930,447.272,19.522,20692.619,7741,11667,66.350%,634.990
512,1,2916,1,1,726.861,683.568,28.595,31602.658,11667,11667,100.000%,870.244
512,1,2916,1,2,713.939,681.598,22.571,31040.825,11667,11667,100.000%,870.246
512,1,2916,1,3,716.680,681.759,23.897,31160.018,11667,11667,100.000%,870.244
512,1,2916,2,1,706.476,662.223,29.253,30716.329,11554,11667,99.031%,850.382
512,1,2916,2,2,691.150,658.882,22.563,30050.016,11566,11667,99.134%,850.382
512,1,2916,2,3,691.871,657.762,23.559,30081.337,11540,11667,98.911%,850.382
512,2,2916,1,1,723.521,677.835,30.250,31457.446,11667,11667,100.000%,867.071
512,2,2916,1,2,702.645,670.331,22.426,30549.763,11667,11667,100.000%,867.076
512,2,2916,1,3,707.339,669.975,25.255,30753.858,11667,11667,100.000%,867.070
512,2,2916,2,1,709.210,664.567,29.754,30835.234,11545,11667,98.954%,854.499
512,2,2916,2,2,694.559,662.370,22.386,30198.201,11551,11667,99.006%,854.501
512,2,2916,2,3,697.799,660.468,25.264,30339.090,11517,11667,98.714%,854.502
512,3,2916,1,1,734.475,690.792,28.956,31933.685,11667,11667,100.000%,874.395
512,3,2916,1,2,705.432,673.347,22.375,30670.968,11667,11667,100.000%,874.396
512,3,2916,1,3,713.358,678.955,23.609,31015.576,11667,11667,100.000%,874.395
512,3,2916,2,1,710.575,665.623,29.829,30894.579,11532,11667,98.843%,856.312
512,3,2916,2,2,695.995,664.383,22.127,30260.633,11547,11667,98.971%,856.312
512,3,2916,2,3,700.091,665.128,24.082,30438.736,11545,11667,98.954%,856.313
512,1,5833,1,1,749.911,704.712,29.819,32604.833,11667,11667,100.000%,890.920
512,1,5833,1,2,728.249,695.548,22.647,31662.994,11667,11667,100.000%,890.920
512,1,5833,1,3,729.582,695.335,23.566,31720.944,11667,11667,100.000%,890.920
512,1,5833,2,1,707.898,663.579,29.397,30778.155,11138,11667,95.466%,848.613
512,1,5833,2,2,682.918,652.950,21.024,29692.092,11105,11667,95.183%,848.613
512,1,5833,2,3,687.418,652.516,23.941,29887.726,11148,11667,95.552%,848.614
512,2,5833,1,1,726.060,680.752,29.928,31567.805,11667,11667,100.000%,870.623
512,2,5833,1,2,709.011,678.060,21.578,30826.547,11667,11667,100.000%,870.624
512,2,5833,1,3,717.062,685.198,22.304,31176.595,11667,11667,100.000%,870.622
512,2,5833,2,1,682.349,638.478,29.131,29667.351,11080,11667,94.969%,826.402
512,2,5833,2,2,669.322,639.544,20.876,29100.947,11147,11667,95.543%,826.399
512,2,5833,2,3,671.172,638.972,22.434,29181.413,11130,11667,95.397%,826.398
512,3,5833,1,1,727.024,684.797,27.961,31609.742,11667,11667,100.000%,879.406
