Batch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,3,5833,1,2,723.067,692.448,21.435,31437.690,11667,11667,100.000%,879.408
512,3,5833,1,3,723.964,685.312,25.778,31476.713,11667,11667,100.000%,879.408
512,3,5833,2,1,694.809,652.053,28.439,30209.066,11115,11667,95.269%,839.195
512,3,5833,2,2,680.271,650.358,21.055,29576.993,11125,11667,95.354%,839.194
512,3,5833,2,3,681.264,649.404,22.280,29620.185,11141,11667,95.492%,839.194
512,1,8750,1,1,715.7867901,672.9145305,28.3476851,31121.16479,11667,11667,100.000%,873.1384213
512,1,8750,1,2,702.1314797,671.7818956,21.15008593,30527.45564,11667,11667,100.000%,873.1431308
512,1,8750,1,3,706.5385957,675.478219,21.65763235,30719.06938,11667,11667,100.000%,873.1393743
512,1,8750,2,1,642.8070993,601.6508119,27.42537332,27948.13475,10384,11667,89.003%,789.0527468
512,1,8750,2,2,618.5218596,589.4969125,20.34720659,26892.25477,10351,11667,88.720%,789.0518405
512,1,8750,2,3,618.022507,587.2204301,21.47659636,26870.54378,10411,11667,89.235%,789.0514584
512,2,8750,1,1,709.2253864,665.7687619,28.70948505,30835.88636,11667,11667,100.000%,852.5262532
512,2,8750,1,2,691.3314054,660.9919622,21.12161851,30057.88719,11667,11667,100.000%,852.5276377
512,2,8750,1,3,700.1229913,663.3887854,24.66403913,30440.13006,11667,11667,100.000%,852.5266631
512,2,8750,2,1,618.3864779,577.7880514,27.05157971,26886.36861,10350,11667,88.712%,775.833945
512,2,8750,2,2,614.2386744,585.1940169,20.35649633,26706.02932,10392,11667,89.072%,775.8341782
512,2,8750,2,3,625.4533594,590.4506972,23.67960334,27193.62432,10390,11667,89.055%,775.8333175
512,3,8750,1,1,703.2565289,658.48668,29.5689106,30576.37082,11667,11667,100.000%,879.1728294
512,3,8750,1,2,711.9726367,681.5873692,21.24386501,30955.33203,11667,11667,100.000%,879.1756463
512,3,8750,1,3,690.5867448,657.877795,22.72420645,30025.51064,11667,11667,100.000%,879.1724091
512,3,8750,2,1,636.3714974,594.2535055,28.05697536,27668.32597,10340,11667,88.626%,791.2304041
512,3,8750,2,2,616.6418474,587.6020916,20.41072559,26810.5151,10358,11667,88.780%,791.2320306
512,3,8750,2,3,629.2687378,598.9626241,21.2803266,27359.51034,10316,11667,88.420%,791.2324181
