Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,768,3,N/A,1,2,165.810,145.660,13.560,0.110,7209.340,2815,11667,24.128%,305.840
512,768,3,N/A,1,3,163.430,143.900,13.220,0.110,7105.680,2889,11667,24.762%,304.690
512,768,3,N/A,2,1,146.570,127.790,12.850,0.110,6372.450,2332,11667,19.988%,289.800
512,768,3,N/A,2,2,150.490,130.410,13.720,0.110,6543.170,2377,11667,20.374%,289.800
512,768,3,N/A,2,3,147.850,128.390,13.260,0.110,6428.240,2445,11667,20.957%,291.200
512,1024,1,N/A,1,1,147.330,128.780,12.660,0.080,6405.550,2389,11667,20.477%,288.350
512,1024,1,N/A,1,2,140.130,121.400,12.770,0.080,6092.790,2240,11667,19.199%,288.360
512,1024,1,N/A,1,3,137.250,118.980,12.470,0.080,5967.300,2186,11667,18.737%,288.350
512,1024,1,N/A,2,1,123.770,105.060,12.850,0.080,5381.410,1918,11667,16.440%,265.950
512,1024,1,N/A,2,2,126.060,107.190,12.960,0.080,5481.030,1952,11667,16.731%,265.950
512,1024,1,N/A,2,3,126.070,107.350,12.830,0.080,5481.300,2003,11667,17.168%,265.950
512,1024,2,N/A,1,1,136.110,118.070,12.370,0.080,5917.740,2233,11667,19.139%,277.140
512,1024,2,N/A,1,2,137.580,118.890,12.730,0.080,5981.630,2242,11667,19.217%,277.140
512,1024,2,N/A,1,3,137.410,119.080,12.530,0.080,5974.400,2242,11667,19.217%,277.140
512,1024,2,N/A,2,1,121.810,103.940,12.320,0.080,5296.040,1944,11667,16.662%,264.080
512,1024,2,N/A,2,2,124.600,105.850,12.880,0.080,5417.330,1951,11667,16.722%,264.080
512,1024,2,N/A,2,3,124.620,105.950,12.850,0.090,5418.110,2024,11667,17.348%,264.080
512,1024,3,N/A,1,1,134.560,116.960,12.080,0.080,5850.460,2230,11667,19.114%,275.940
512,1024,3,N/A,1,2,137.340,118.500,12.810,0.080,5971.510,2237,11667,19.174%,275.950
512,1024,3,N/A,1,3,135.780,117.750,12.320,0.080,5903.530,2298,11667,19.697%,275.950
512,1024,3,N/A,2,1,124.720,106.640,12.440,0.080,5422.450,2029,11667,17.391%,267.790
512,1024,3,N/A,2,2,126.230,106.730,13.330,0.080,5488.450,2061,11667,17.665%,267.790
512,1024,3,N/A,2,3,127.470,108.900,12.720,0.080,5542.040,2079,11667,17.819%,267.790
