Batch Size,Trial #,Cache Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,2,512,256,2,1,360.563,336.448,16.601,0.102,12877.234,6750,14000,48.214%,376.156
512,2,512,256,2,2,364.402,337.740,18.005,0.117,13014.375,6751,14000,48.221%,376.156
512,2,512,256,2,3,359.248,336.035,16.058,0.103,12830.301,6768,14000,48.343%,376.156
512,3,512,256,1,1,384.098,360.931,15.969,0.101,13717.791,6716,14000,47.971%,402.197
512,3,512,256,1,2,377.084,350.885,17.759,0.117,13467.291,6723,14000,48.021%,402.197
512,3,512,256,1,3,374.363,351.248,15.992,0.103,13370.098,6774,14000,48.386%,402.197
512,3,512,256,2,1,367.460,346.485,14.528,0.094,13123.567,6784,14000,48.457%,381.760
512,3,512,256,2,2,369.205,343.605,17.508,0.120,13185.899,6716,14000,47.971%,381.760
512,3,512,256,2,3,370.019,346.698,16.169,0.103,13214.960,6754,14000,48.243%,381.760
512,1,1024,512,1,1,162.170,138.240,16.640,0.100,5791.670,2643,14000,18.879%,168.730
512,1,1024,512,1,2,161.340,137.690,16.630,0.100,5762.200,2691,14000,19.221%,168.730
512,1,1024,512,1,3,160.940,137.250,16.450,0.100,5747.890,2671,14000,19.079%,168.730
512,1,1024,512,2,1,167.460,143.320,16.800,0.100,5980.770,2909,14000,20.779%,173.550
512,1,1024,512,2,2,165.790,142.420,16.310,0.100,5921.170,2877,14000,20.550%,173.550
512,1,1024,512,2,3,161.520,138.410,16.080,0.090,5768.700,2765,14000,19.750%,173.550
512,2,1024,512,1,1,156.820,133.140,16.510,0.100,5600.660,2748,14000,19.629%,162.700
512,2,1024,512,1,2,156.950,133.630,16.330,0.100,5605.360,2753,14000,19.664%,162.700
512,2,1024,512,1,3,154.280,131.100,16.110,0.090,5510.160,2731,14000,19.507%,162.700
512,2,1024,512,2,1,155.460,132.080,16.330,0.100,5552.160,2849,14000,20.350%,163.020
512,2,1024,512,2,2,155.930,132.680,16.280,0.100,5568.960,2877,14000,20.550%,163.020
512,2,1024,512,2,3,157.400,133.850,16.400,0.100,5621.340,2882,14000,20.586%,163.020
512,3,1024,512,1,1,154.570,131.020,16.400,0.100,5520.190,2886,14000,20.614%,162.390
512,3,1024,512,1,2,156.510,133.330,16.180,0.100,5589.810,2901,14000,20.721%,162.390
512,3,1024,512,1,3,154.460,131.650,15.840,0.100,5516.300,2906,14000,20.757%,162.390
512,3,1024,512,2,1,155.670,131.910,16.540,0.100,5559.570,3150,14000,22.500%,163.870
512,3,1024,512,2,2,157.490,133.770,16.550,0.100,5624.740,3200,14000,22.857%,163.870
512,3,1024,512,2,3,155.990,133.030,16.040,0.090,5571.180,3108,14000,22.200%,163.870
512,1,2048,1024,1,1,110.490,82.440,20.120,0.140,3946.010,1847,14000,13.193%,123.010
512,1,2048,1024,1,2,116.310,88.090,20.280,0.120,4153.950,1995,14000,14.250%,123.010
512,1,2048,1024,1,3,102.090,77.610,17.270,0.100,3646.140,1734,14000,12.386%,123.010
512,1,2048,1024,2,1,110.850,83.720,19.350,0.120,3958.820,2090,14000,14.929%,122.980
512,1,2048,1024,2,2,116.620,88.070,20.440,0.120,4164.990,2228,14000,15.914%,122.980
512,1,2048,1024,2,3,100.410,75.310,17.940,0.120,3585.970,1883,14000,13.450%,122.980
512,2,2048,1024,1,1,108.200,83.110,17.760,0.100,3864.320,1934,14000,13.814%,122.490
512,2,2048,1024,1,2,116.820,89.190,19.660,0.130,4172.180,2032,14000,14.514%,122.490
512,2,2048,1024,1,3,102.370,78.810,16.810,0.100,3656.010,1820,14000,13.000%,122.490
512,2,2048,1024,2,1,98.030,72.280,18.360,0.130,3500.950,1991,14000,14.221%,122.080
512,2,2048,1024,2,2,115.600,87.060,20.370,0.130,4128.540,2411,14000,17.221%,122.080
512,2,2048,1024,2,3,95.870,70.850,17.870,0.120,3423.930,1898,14000,13.557%,122.080
512,3,2048,1024,1,1,104.620,78.860,18.490,0.100,3736.400,1849,14000,13.207%,122.460
512,3,2048,1024,1,2,115.710,87.050,20.520,0.110,4132.640,2036,14000,14.543%,122.460
512,3,2048,1024,1,3,106.810,81.060,18.320,0.110,3814.780,1923,14000,13.736%,122.460
512,3,2048,1024,2,1,108.380,81.210,19.280,0.120,3870.790,2106,14000,15.043%,122.300
512,3,2048,1024,2,2,116.310,88.240,20.020,0.120,4153.830,2252,14000,16.086%,122.300
512,3,2048,1024,2,3,109.140,82.040,19.370,0.140,3897.960,2094,14000,14.957%,122.300
512,1,512,384,1,1,383.880,360.370,16.130,0.100,13709.830,6761,14000,48.293%,399.290
512,1,512,384,1,2,387.030,363.370,16.310,0.100,13822.640,6779,14000,48.421%,399.290
512,1,512,384,1,3,388.290,364.480,16.370,0.100,13867.390,6750,14000,48.214%,399.290
512,1,512,384,2,1,386.720,363.240,16.190,0.100,13811.310,6734,14000,48.100%,397.560
512,1,512,384,2,2,382.840,359.530,16.150,0.100,13672.990,6718,14000,47.986%,397.560
512,1,512,384,2,3,381.970,358.190,16.420,0.100,13641.950,6665,14000,47.607%,397.560
512,2,512,384,1,1,387.630,363.880,16.020,0.100,13844.090,6740,14000,48.143%,403.770
512,2,512,384,1,2,388.340,365.190,15.970,0.100,13869.220,6775,14000,48.393%,403.770
512,2,512,384,1,3,384.090,361.000,15.880,0.100,13717.430,6713,14000,47.950%,403.770
512,2,512,384,2,1,385.440,360.600,16.970,0.100,13765.660,6771,14000,48.364%,394.110
512,2,512,384,2,2,379.350,354.570,17.080,0.100,13548.220,6674,14000,47.671%,394.110
512,2,512,384,2,3,377.940,355.200,15.620,0.090,13497.830,6754,14000,48.243%,394.110
512,3,512,384,1,1,394.090,368.940,17.290,0.100,14074.500,6723,14000,48.021%,409.500
512,3,512,384,1,2,398.500,374.930,16.290,0.100,14232.100,6759,14000,48.279%,409.500
512,3,512,384,1,3,396.650,374.300,15.260,0.090,14166.100,6761,14000,48.293%,409.500
512,3,512,384,2,1,381.940,357.400,16.910,0.100,13640.630,6727,14000,48.050%,394.790
512,3,512,384,2,2,378.760,355.360,16.270,0.100,13527.220,6734,14000,48.100%,394.790
512,3,512,384,2,3,376.770,353.290,15.930,0.100,13456.030,6746,14000,48.186%,394.790
512,1,1024,768,1,1,138.100,109.790,20.280,0.120,4932.130,2219,14000,15.850%,164.290
512,1,1024,768,1,2,144.520,115.840,20.490,0.130,5161.330,2330,14000,16.643%,164.290
512,1,1024,768,1,3,155.200,126.920,20.230,0.120,5542.910,2544,14000,18.171%,164.300
512,1,1024,768,2,1,155.350,128.000,19.430,0.140,5548.380,2846,14000,20.329%,169.820
512,1,1024,768,2,2,162.950,135.190,19.860,0.120,5819.570,2915,14000,20.821%,169.820
512,1,1024,768,2,3,158.460,131.060,19.480,0.110,5659.360,2776,14000,19.829%,169.820
512,2,1024,768,1,1,158.950,132.390,18.790,0.110,5676.900,2793,14000,19.950%,206.650
512,2,1024,768,1,2,167.450,139.860,19.560,0.120,5980.450,2844,14000,20.314%,206.650
512,2,1024,768,1,3,166.670,140.920,18.310,0.110,5952.510,2938,14000,20.986%,206.650
512,2,1024,768,2,1,155.960,128.630,19.440,0.110,5569.860,2825,14000,20.179%,194.030
512,2,1024,768,2,2,163.710,136.250,19.620,0.120,5846.950,2987,14000,21.336%,194.030
512,2,1024,768,2,3,151.500,125.450,18.530,0.120,5410.560,2771,14000,19.793%,194.030
512,3,1024,768,1,1,167.060,142.310,17.440,0.100,5966.560,3033,14000,21.664%,193.140
512,3,1024,768,1,2,164.720,136.570,20.060,0.110,5883.000,2846,14000,20.329%,193.140
512,3,1024,768,1,3,170.130,145.710,17.180,0.100,6075.990,3154,14000,22.529%,193.140
512,3,1024,768,2,1,184.230,158.240,18.440,0.110,6579.640,3412,14000,24.371%,224.460
512,3,1024,768,2,2,172.600,145.260,19.410,0.140,6164.420,3092,14000,22.086%,224.460
512,3,1024,768,2,3,199.160,174.560,17.420,0.110,7112.840,3739,14000,26.707%,224.460
512,1,2048,1536,1,1,87.845,64.947,16.364,0.094,3137.323,1221,14000,8.721%,126.574
512,1,2048,1536,1,2,121.082,90.732,21.779,0.152,4324.349,1656,14000,11.829%,126.574
512,1,2048,1536,1,3,106.690,78.396,20.381,0.137,3810.345,1440,14000,10.286%,126.574
512,1,2048,1536,2,1,79.786,52.508,19.925,0.140,2849.490,1077,14000,7.693%,124.874
512,1,2048,1536,2,2,116.301,85.923,21.771,0.146,4153.591,1767,14000,12.621%,124.873
512,1,2048,1536,2,3,108.753,77.727,22.700,0.141,3884.037,1605,14000,11.464%,124.873
512,2,2048,1536,1,1,111.250,80.059,22.852,0.129,3973.197,1510,14000,10.786%,127.624
512,2,2048,1536,1,2,121.011,90.660,21.770,0.130,4321.834,1713,14000,12.236%,127.624
512,2,2048,1536,1,3,104.388,74.765,21.447,0.130,3728.131,1434,14000,10.243%,127.625
512,2,2048,1536,2,1,109.091,77.247,23.207,0.127,3896.095,1635,14000,11.679%,127.031
512,2,2048,1536,2,2,118.554,86.759,22.212,0.145,4234.068,1833,14000,13.093%,127.031
512,2,2048,1536,2,3,100.073,69.953,21.995,0.137,3574.023,1524,14000,10.886%,127.031
512,3,2048,1536,1,1,99.215,73.133,18.717,0.137,3543.382,1436,14000,10.257%,127.608
512,3,2048,1536,1,2,122.642,91.909,22.194,0.153,4380.075,1824,14000,13.029%,127.608
512,3,2048,1536,1,3,104.047,76.664,19.567,0.144,3715.951,1541,14000,11.007%,127.608
512,3,2048,1536,2,1,93.994,63.703,22.308,0.134,3356.912,1365,14000,9.750%,126.024
512,3,2048,1536,2,2,118.088,87.233,22.212,0.149,4217.421,1876,14000,13.400%,126.024
512,3,2048,1536,2,3,103.808,73.068,22.296,0.141,3707.414,1561,14000,11.150%,126.024
512,1,3072,768,1,1,125.690,96.350,20.360,0.160,4488.770,2087,14000,14.907%,131.920
512,1,3072,768,1,2,109.010,83.320,17.910,0.150,3893.360,1827,14000,13.050%,131.890
512,1,3072,768,1,3,114.100,87.570,18.500,0.110,4075.170,1915,14000,13.679%,131.830
512,1,3072,768,2,1,122.120,94.590,19.390,0.150,4361.480,2279,14000,16.279%,130.750
512,1,3072,768,2,2,106.090,77.880,20.040,0.140,3788.980,1941,14000,13.864%,130.750
512,1,3072,768,2,3,112.410,84.630,19.850,0.140,4014.540,2101,14000,15.007%,130.750
512,2,3072,768,1,1,125.250,95.050,21.330,0.130,4473.300,1975,14000,14.107%,130.670
512,2,3072,768,1,2,107.740,80.920,18.790,0.110,3847.990,1703,14000,12.164%,130.670
512,2,3072,768,1,3,111.360,83.900,19.450,0.130,3977.060,1806,14000,12.900%,130.670
512,2,3072,768,2,1,123.120,94.600,20.100,0.130,4397.060,2279,14000,16.279%,130.650
512,2,3072,768,2,2,108.900,80.600,20.180,0.130,3889.300,1953,14000,13.950%,130.650
512,2,3072,768,2,3,112.470,84.900,19.750,0.140,4016.870,2054,14000,14.671%,130.650
512,3,3072,768,1,1,124.760,94.970,21.260,0.140,4455.800,1994,14000,14.243%,130.450
512,3,3072,768,1,2,104.260,77.350,19.250,0.100,3723.510,1598,14000,11.414%,130.450
512,3,3072,768,1,3,109.110,81.710,19.510,0.120,3896.730,1738,14000,12.414%,130.450
512,3,3072,768,2,1,124.990,94.060,21.970,0.130,4464.030,2256,14000,16.114%,132.710
512,3,3072,768,2,2,100.640,73.350,19.520,0.130,3594.130,1765,14000,12.607%,132.710
512,3,3072,768,2,3,104.100,76.370,19.810,0.130,3717.930,1905,14000,13.607%,132.710
512,1,3072,1536,1,1,117.416,86.435,21.841,0.202,4193.416,1771,14000,12.650%,127.391
512,1,3072,1536,1,2,111.469,80.900,21.489,0.161,3981.034,1663,14000,11.879%,127.378
512,1,3072,1536,1,3,117.979,86.835,21.948,0.170,4213.519,1780,14000,12.714%,127.334
512,1,3072,1536,2,1,115.495,84.672,22.131,0.167,4124.820,2319,14000,16.564%,121.958
512,1,3072,1536,2,2,109.510,79.468,21.499,0.129,3911.077,2199,14000,15.707%,121.958
512,1,3072,1536,2,3,110.297,80.481,21.365,0.131,3939.169,2251,14000,16.079%,121.958
512,2,3072,1536,1,1,115.037,83.297,22.710,0.142,4108.467,1998,14000,14.271%,130.817
512,2,3072,1536,1,2,113.803,82.646,22.559,0.126,4064.405,2028,14000,14.486%,130.817
512,2,3072,1536,1,3,97.036,69.864,19.376,0.121,3465.555,1814,14000,12.957%,130.817
512,2,3072,1536,2,1,112.285,81.927,21.797,0.140,4010.183,2206,14000,15.757%,131.358
512,2,3072,1536,2,2,112.973,83.697,21.187,0.116,4034.744,1732,14000,12.371%,131.358
512,2,3072,1536,2,3,106.829,78.655,20.340,0.115,3815.335,2049,14000,14.636%,131.359
512,3,3072,1536,1,1,115.609,85.798,21.099,0.135,4128.896,1917,14000,13.693%,125.191
512,3,3072,1536,1,2,117.155,86.376,22.108,0.117,4184.102,1918,14000,13.700%,125.191
512,3,3072,1536,1,3,100.414,73.641,19.165,0.126,3586.218,1613,14000,11.521%,125.191
512,3,3072,1536,2,1,114.436,83.763,21.894,0.150,4087.016,2219,14000,15.850%,122.355
512,3,3072,1536,2,2,110.537,79.522,22.137,0.121,3947.757,2077,14000,14.836%,122.355
512,3,3072,1536,2,3,101.811,72.676,21.015,0.120,3636.110,1894,14000,13.529%,122.355
512,1,3072,2304,1,1,112.870,71.980,30.560,0.140,4030.960,1474,14000,10.529%,120.440
512,1,3072,2304,1,2,84.750,50.780,25.320,0.130,3026.890,1020,14000,7.286%,120.440
512,1,3072,2304,1,3,86.600,51.890,25.910,0.140,3092.840,1038,14000,7.414%,120.440
512,1,3072,2304,2,1,119.830,80.530,29.220,0.130,4279.470,2096,14000,14.971%,138.870
512,1,3072,2304,2,2,107.720,73.870,25.120,0.140,3847.300,1984,14000,14.171%,138.870
512,1,3072,2304,2,3,107.580,72.340,26.260,0.130,3842.170,1905,14000,13.607%,138.870
512,2,3072,2304,1,1,112.150,73.080,29.020,0.150,4005.360,1618,14000,11.557%,119.310
512,2,3072,2304,1,2,85.640,52.720,24.350,0.130,3058.540,1141,14000,8.150%,119.310
512,2,3072,2304,1,3,85.730,53.330,23.990,0.140,3061.800,1111,14000,7.936%,119.310
512,2,3072,2304,2,1,109.700,65.000,34.020,0.150,3918.030,1805,14000,12.893%,118.010
512,2,3072,2304,2,2,66.280,28.710,28.120,0.160,2367.090,826,14000,5.900%,118.010
512,2,3072,2304,2,3,62.080,25.410,27.660,0.130,2217.130,751,14000,5.364%,118.010
512,3,3072,2304,1,1,112.270,71.390,30.640,0.130,4009.670,1710,14000,12.214%,119.140
512,3,3072,2304,1,2,84.190,50.340,25.000,0.130,3006.880,1169,14000,8.350%,119.140
512,3,3072,2304,1,3,83.180,49.640,24.820,0.130,2970.660,1125,14000,8.036%,119.140
512,3,3072,2304,2,1,125.160,89.090,26.400,0.120,4469.850,1958,14000,13.986%,141.770
512,3,3072,2304,2,2,104.620,72.840,23.380,0.120,3736.450,1605,14000,11.464%,141.770
512,3,3072,2304,2,3,116.320,83.450,24.340,0.130,4154.380,1817,14000,12.979%,141.770
512,1,4096,0,1,1,164.584,141.523,15.653,0.141,5878.016,3205,14000,22.893%,171.411
512,1,4096,0,1,2,160.204,138.522,14.719,0.117,5721.565,3160,14000,22.571%,171.415
512,1,4096,0,1,3,162.617,140.803,14.863,0.125,5807.739,3247,14000,23.193%,171.401
512,1,4096,0,2,1,164.881,141.628,16.135,0.098,5888.615,3749,14000,26.779%,172.256
512,1,4096,0,2,2,163.821,141.835,15.197,0.097,5850.739,3780,14000,27.000%,172.256
512,1,4096,0,2,3,160.338,138.615,15.115,0.098,5726.342,3695,14000,26.393%,172.256
512,2,4096,0,1,1,164.837,142.304,15.675,0.099,5887.036,3264,14000,23.314%,170.550
512,2,4096,0,1,2,162.357,140.901,14.868,0.101,5798.453,3243,14000,23.164%,170.550
512,2,4096,0,1,3,161.020,139.184,15.185,0.097,5750.708,3208,14000,22.914%,170.550
512,2,4096,0,2,1,164.256,141.327,15.909,0.099,5866.293,3551,14000,25.364%,172.241
512,2,4096,0,2,2,161.979,140.416,14.941,0.097,5784.976,3428,14000,24.486%,172.241
512,2,4096,0,2,3,163.743,141.537,15.668,0.095,5847.958,3470,14000,24.786%,172.241
512,3,4096,0,1,1,163.421,140.716,15.687,0.097,5836.457,3188,14000,22.771%,168.883
512,3,4096,0,1,2,158.249,136.896,14.832,0.097,5651.734,3191,14000,22.793%,168.883
512,3,4096,0,1,3,158.525,137.078,14.871,0.099,5661.597,3257,14000,23.264%,168.883
512,3,4096,0,2,1,165.977,142.343,16.921,0.098,5927.768,3657,14000,26.121%,177.202
512,3,4096,0,2,2,161.721,140.029,15.064,0.097,5775.752,3776,14000,26.971%,177.202
512,3,4096,0,2,3,164.047,142.045,15.356,0.100,5858.812,3686,14000,26.329%,177.202
512,1,4096,1024,1,1,118.760,88.600,21.170,0.140,4241.460,1974,14000,14.100%,132.660
512,1,4096,1024,1,2,121.390,92.200,20.390,0.140,4335.210,2079,14000,14.850%,132.630
512,1,4096,1024,1,3,124.720,94.450,20.980,0.160,4454.300,2100,14000,15.000%,132.520
512,1,4096,1024,2,1,119.560,88.460,22.050,0.130,4270.000,2309,14000,16.493%,130.600
512,1,4096,1024,2,2,122.290,90.270,22.770,0.120,4367.330,2323,14000,16.593%,130.600
512,1,4096,1024,2,3,121.130,90.750,21.460,0.130,4326.190,2351,14000,16.793%,130.600
512,2,4096,1024,1,1,122.130,92.060,21.340,0.130,4361.660,2220,14000,15.857%,129.870
512,2,4096,1024,1,2,122.370,92.310,21.320,0.130,4370.500,2253,14000,16.093%,129.870
512,2,4096,1024,1,3,122.310,92.260,21.130,0.110,4368.160,2224,14000,15.886%,129.870
512,2,4096,1024,2,1,120.050,89.480,21.740,0.120,4287.650,2469,14000,17.636%,130.470
512,2,4096,1024,2,2,120.730,89.820,22.040,0.120,4311.950,2476,14000,17.686%,130.470
512,2,4096,1024,2,3,122.080,90.910,22.100,0.130,4359.980,2493,14000,17.807%,130.470
512,3,4096,1024,1,1,116.200,87.910,19.900,0.120,4150.110,2052,14000,14.657%,128.320
512,3,4096,1024,1,2,117.780,89.020,20.430,0.110,4206.480,2149,14000,15.350%,128.320
512,3,4096,1024,1,3,121.340,92.250,20.520,0.110,4333.730,2220,14000,15.857%,128.320
512,3,4096,1024,2,1,119.170,89.270,21.080,0.140,4256.040,2484,14000,17.743%,127.670
512,3,4096,1024,2,2,118.240,89.080,20.580,0.130,4222.960,2463,14000,17.593%,127.670
512,3,4096,1024,2,3,119.890,90.290,20.860,0.120,4281.860,2521,14000,18.007%,127.670
512,1,4096,2048,1,1,107.370,71.440,26.690,0.130,3834.630,1693,14000,12.093%,120.400
512,1,4096,2048,1,2,111.680,76.530,25.860,0.130,3988.510,1807,14000,12.907%,120.400
512,1,4096,2048,1,3,110.740,75.340,25.770,0.120,3954.910,1807,14000,12.907%,120.390
512,1,4096,2048,2,1,104.420,62.810,31.160,0.140,3729.340,1722,14000,12.300%,120.940
512,1,4096,2048,2,2,109.380,67.640,30.850,0.140,3906.290,1885,14000,13.464%,120.940
512,1,4096,2048,2,3,111.550,70.120,30.620,0.150,3983.990,1882,14000,13.443%,120.940
512,2,4096,2048,1,1,109.740,73.980,26.240,0.130,3919.410,1738,14000,12.414%,120.230
512,2,4096,2048,1,2,108.710,72.370,26.760,0.130,3882.390,1641,14000,11.721%,120.220
512,2,4096,2048,1,3,112.790,76.200,26.870,0.130,4028.150,1745,14000,12.464%,120.230
512,2,4096,2048,2,1,107.900,66.500,30.730,0.160,3853.450,1658,14000,11.843%,123.020
512,2,4096,2048,2,2,113.670,72.840,30.400,0.160,4059.710,1814,14000,12.957%,123.020
512,2,4096,2048,2,3,109.220,67.460,31.320,0.140,3900.870,1659,14000,11.850%,123.020
512,3,4096,2048,1,1,111.350,74.330,27.130,0.140,3976.630,1662,14000,11.871%,122.110
512,3,4096,2048,1,2,112.140,75.670,26.880,0.130,4005.090,1689,14000,12.064%,122.110
512,3,4096,2048,1,3,115.010,78.310,27.200,0.170,4107.470,1745,14000,12.464%,122.110
512,3,4096,2048,2,1,108.970,67.810,30.730,0.140,3891.660,1672,14000,11.943%,120.760
512,3,4096,2048,2,2,110.000,68.820,30.870,0.140,3928.640,1698,14000,12.129%,120.760
