Number of Accesses,Fetch Size,Cache Size,Minimum Queue Size,Epoch,Data Loading Mean,Data Loading Error,Miss Mean,Miss Error,Miss Rate Mean,Miss Rate Error,Epoch Run Time (s),Count,Minimum Queue Ratio,Method,Model,Bar ID
11667,1024,2048,1024,1,39.38777777777778,0.9478762811909824,248.88888888888889,15.640048309104136,0.02133272382693828,0.0013405372682869746,181.01777777777778,9,0.5,Fifty/Fifty,CIFAR,cCIFAR-q0.5
11667,1024,2048,1024,2,43.3,1.2893990848453385,365.44444444444446,18.180422926262683,0.031322914583392855,0.0015582774428955766,184.83444444444444,9,0.5,Fifty/Fifty,CIFAR,cCIFAR-q0.5
11667,2048,2048,0,1,101.81795261444444,2.2837822585150622,1416.4444444444443,92.6230412898312,0.12140605506509337,0.007938890999385547,241.48471855555556,9,0.0,Fifty/Fifty,CIFAR,cCIFAR-q0.0
11667,2048,2048,0,2,114.60630707777779,15.366177980394434,1569.111111111111,116.75127884143758,0.13449139548393854,0.010006966558792975,261.3848859111111,9,0.0,Fifty/Fifty,CIFAR,cCIFAR-q0.0
14000,1024,2048,1024,1,109.26888888888888,5.889688965566101,1907.7777777777778,103.35107374596762,0.13626984126984126,0.007382219553283404,122.65333333333332,9,0.5,Fifty/Fifty,MNIST,cMNIST-q0.5
14000,1024,2048,1024,2,107.91222222222223,8.021561222383363,2105.8888888888887,171.69845983907692,0.15042063492063493,0.012264175702791208,122.45333333333332,9,0.5,Fifty/Fifty,MNIST,cMNIST-q0.5
14000,2048,2048,0,1,123.30222222222223,1.003690412649466,1964.6666666666667,86.8792265158939,0.1403333333333333,0.0062056590368495595,129.88,9,0.0,Fifty/Fifty,MNIST,cMNIST-q0.0
14000,2048,2048,0,2,129.5811111111111,6.484661603438619,2068.1111111111113,182.46810984692945,0.1477222222222222,0.013033436417637823,137.19333333333333,9,0.0,Fifty/Fifty,MNIST,cMNIST-q0.0
