Batch Size,Trial #,Cache Size,Fetch Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s),Timestamp
512,3,2048,1024,1024,2,2,41.450,18.620,16.390,0.110,1802.370,341,11667,2.923%,183.670,
512,3,2048,1024,1024,2,3,44.610,20.770,17.180,0.100,1939.560,388,11667,3.326%,185.070,
512,1,2048,1024,1024,1,1,110.490,82.440,20.120,0.140,3946.010,1847,14000,13.193%,123.010,
512,1,2048,1024,1024,1,2,116.310,88.090,20.280,0.120,4153.950,1995,14000,14.250%,123.010,
512,1,2048,1024,1024,1,3,102.090,77.610,17.270,0.100,3646.140,1734,14000,12.386%,123.010,
512,1,2048,1024,1024,2,1,110.850,83.720,19.350,0.120,3958.820,2090,14000,14.929%,122.980,
512,1,2048,1024,1024,2,2,116.620,88.070,20.440,0.120,4164.990,2228,14000,15.914%,122.980,
512,1,2048,1024,1024,2,3,100.410,75.310,17.940,0.120,3585.970,1883,14000,13.450%,122.980,
512,2,2048,1024,1024,1,1,108.200,83.110,17.760,0.100,3864.320,1934,14000,13.814%,122.490,
512,2,2048,1024,1024,1,2,116.820,89.190,19.660,0.130,4172.180,2032,14000,14.514%,122.490,
512,2,2048,1024,1024,1,3,102.370,78.810,16.810,0.100,3656.010,1820,14000,13.000%,122.490,
512,2,2048,1024,1024,2,1,98.030,72.280,18.360,0.130,3500.950,1991,14000,14.221%,122.080,
512,2,2048,1024,1024,2,2,115.600,87.060,20.370,0.130,4128.540,2411,14000,17.221%,122.080,
512,2,2048,1024,1024,2,3,95.870,70.850,17.870,0.120,3423.930,1898,14000,13.557%,122.080,
512,3,2048,1024,1024,1,1,104.620,78.860,18.490,0.100,3736.400,1849,14000,13.207%,122.460,
512,3,2048,1024,1024,1,2,115.710,87.050,20.520,0.110,4132.640,2036,14000,14.543%,122.460,
512,3,2048,1024,1024,1,3,106.810,81.060,18.320,0.110,3814.780,1923,14000,13.736%,122.460,
512,3,2048,1024,1024,2,1,108.380,81.210,19.280,0.120,3870.790,2106,14000,15.043%,122.300,
512,3,2048,1024,1024,2,2,116.310,88.240,20.020,0.120,4153.830,2252,14000,16.086%,122.300,
512,3,2048,1024,1024,2,3,109.140,82.040,19.370,0.140,3897.960,2094,14000,14.957%,122.300,
